Date,Open,High,Low,Close,Volume,Currency
2013-09-30,0.415,0.415,0.41,0.41,288000,MYR
2013-10-01,0.41,0.415,0.41,0.41,201000,MYR
2013-10-02,0.415,0.42,0.41,0.41,162200,MYR
2013-10-03,0.415,0.415,0.41,0.415,259600,MYR
2013-10-04,0.415,0.415,0.41,0.41,379100,MYR
2013-10-07,0.41,0.41,0.41,0.41,180700,MYR
2013-10-08,0.41,0.415,0.41,0.415,128300,MYR
2013-10-09,0.41,0.41,0.41,0.41,347700,MYR
2013-10-10,0.41,0.415,0.405,0.415,401200,MYR
2013-10-11,0.415,0.42,0.41,0.41,264100,MYR
2013-10-14,0.405,0.41,0.405,0.41,89400,MYR
2013-10-16,0.41,0.41,0.41,0.41,234300,MYR
2013-10-17,0.41,0.415,0.405,0.41,433800,MYR
2013-10-18,0.41,0.41,0.41,0.41,266000,MYR
2013-10-21,0.41,0.42,0.41,0.415,712700,MYR
2013-10-22,0.41,0.415,0.41,0.415,342800,MYR
2013-10-23,0.42,0.42,0.415,0.415,280200,MYR
2013-10-24,0.415,0.42,0.41,0.42,64000,MYR
2013-10-25,0.415,0.42,0.415,0.42,250100,MYR
2013-10-28,0.41,0.415,0.405,0.41,318400,MYR
2013-10-29,0.41,0.415,0.41,0.41,321400,MYR
2013-10-30,0.41,0.41,0.405,0.41,786500,MYR
2013-10-31,0.405,0.41,0.405,0.405,146000,MYR
2013-11-01,0.405,0.405,0.405,0.405,277400,MYR
2013-11-04,0.405,0.425,0.405,0.42,578100,MYR
2013-11-06,0.415,0.415,0.38,0.4,928500,MYR
2013-11-07,0.405,0.405,0.4,0.4,121000,MYR
2013-11-08,0.4,0.4,0.395,0.4,508200,MYR
2013-11-11,0.405,0.405,0.395,0.395,327300,MYR
2013-11-12,0.4,0.4,0.395,0.4,489900,MYR
2013-11-13,0.395,0.395,0.395,0.395,210000,MYR
2013-11-14,0.4,0.4,0.395,0.395,255500,MYR
2013-11-15,0.395,0.4,0.395,0.4,235500,MYR
2013-11-18,0.4,0.405,0.4,0.405,383000,MYR
2013-11-19,0.405,0.405,0.395,0.395,163000,MYR
2013-11-20,0.395,0.395,0.39,0.39,565000,MYR
2013-11-21,0.395,0.395,0.385,0.385,192000,MYR
2013-11-22,0.39,0.39,0.385,0.385,366000,MYR
2013-11-25,0.39,0.395,0.39,0.39,154000,MYR
2013-11-26,0.395,0.395,0.39,0.39,176100,MYR
2013-11-27,0.39,0.39,0.39,0.39,346000,MYR
2013-11-28,0.39,0.39,0.39,0.39,300000,MYR
2013-11-29,0.385,0.39,0.38,0.38,810000,MYR
2013-12-02,0.385,0.39,0.38,0.38,975900,MYR
2013-12-03,0.385,0.385,0.385,0.385,515000,MYR
2013-12-04,0.38,0.385,0.38,0.38,271500,MYR
2013-12-05,0.38,0.385,0.38,0.38,403000,MYR
2013-12-06,0.38,0.385,0.38,0.38,205000,MYR
2013-12-09,0.38,0.385,0.38,0.385,336200,MYR
2013-12-10,0.38,0.38,0.375,0.38,1181500,MYR
2013-12-11,0.375,0.38,0.375,0.38,375200,MYR
2013-12-12,0.38,0.385,0.38,0.385,192900,MYR
2013-12-13,0.38,0.385,0.38,0.385,58500,MYR
2013-12-16,0.385,0.385,0.38,0.38,362600,MYR
2013-12-17,0.38,0.38,0.38,0.38,28500,MYR
2013-12-18,0.38,0.38,0.375,0.38,53000,MYR
2013-12-19,0.38,0.39,0.38,0.385,180200,MYR
2013-12-20,0.38,0.38,0.375,0.375,140000,MYR
2013-12-23,0.375,0.385,0.375,0.38,586400,MYR
2013-12-24,0.38,0.38,0.38,0.38,532000,MYR
2013-12-26,0.38,0.38,0.375,0.38,1481100,MYR
2013-12-27,0.38,0.38,0.38,0.38,134300,MYR
2013-12-30,0.38,0.39,0.38,0.385,298200,MYR
2013-12-31,0.39,0.39,0.385,0.385,256500,MYR
2014-01-02,0.385,0.385,0.385,0.385,420000,MYR
2014-01-03,0.385,0.385,0.38,0.385,580000,MYR
2014-01-06,0.385,0.385,0.38,0.385,312000,MYR
2014-01-07,0.38,0.385,0.38,0.385,402400,MYR
2014-01-08,0.385,0.385,0.38,0.38,136200,MYR
2014-01-09,0.38,0.385,0.375,0.38,913100,MYR
2014-01-10,0.38,0.38,0.375,0.375,513700,MYR
2014-01-13,0.38,0.39,0.38,0.38,1404000,MYR
2014-01-15,0.38,0.38,0.38,0.38,750000,MYR
2014-01-16,0.38,0.38,0.38,0.38,170000,MYR
2014-01-20,0.375,0.38,0.375,0.375,485600,MYR
2014-01-21,0.375,0.385,0.375,0.375,491000,MYR
2014-01-22,0.375,0.38,0.375,0.38,176000,MYR
2014-01-23,0.375,0.38,0.375,0.375,253000,MYR
2014-01-24,0.375,0.375,0.37,0.375,665900,MYR
2014-01-27,0.37,0.375,0.37,0.375,591900,MYR
2014-01-28,0.375,0.375,0.37,0.375,333000,MYR
2014-01-29,0.375,0.375,0.37,0.37,40000,MYR
2014-01-30,0.375,0.375,0.375,0.375,32000,MYR
2014-02-04,0.37,0.37,0.37,0.37,5000,MYR
2014-02-05,0.37,0.37,0.37,0.37,445000,MYR
2014-02-06,0.37,0.38,0.37,0.37,1257500,MYR
2014-02-07,0.37,0.375,0.37,0.375,598000,MYR
2014-02-10,0.37,0.38,0.37,0.38,465300,MYR
2014-02-11,0.375,0.375,0.37,0.37,315500,MYR
2014-02-12,0.37,0.375,0.37,0.37,562500,MYR
2014-02-13,0.37,0.37,0.37,0.37,389800,MYR
2014-02-14,0.37,0.375,0.37,0.375,75000,MYR
2014-02-17,0.37,0.385,0.37,0.385,823200,MYR
2014-02-18,0.38,0.38,0.375,0.375,147600,MYR
2014-02-19,0.375,0.38,0.375,0.38,622000,MYR
2014-02-20,0.375,0.385,0.375,0.38,505300,MYR
2014-02-21,0.375,0.38,0.375,0.38,373500,MYR
2014-02-24,0.38,0.385,0.375,0.375,584100,MYR
