Date,Open,High,Low,Close,Volume,Currency
2001-03-28,0.01,0.02,0.01,0.01,65921936,MYR
2001-03-29,0.01,0.01,0.01,0.01,36446636,MYR
2001-03-30,0.01,0.01,0.01,0.01,38525808,MYR
2001-04-02,0.01,0.01,0.01,0.01,59317512,MYR
2001-04-03,0.01,0.01,0.01,0.01,15899539,MYR
2001-04-04,0.01,0.01,0.01,0.01,10762765,MYR
2001-04-05,0.01,0.01,0.01,0.01,21770138,MYR
2001-04-06,0.01,0.01,0.01,0.01,14309585,MYR
2001-04-09,0.01,0.01,0.01,0.01,4892166,MYR
2001-04-10,0.01,0.01,0.01,0.01,5503687,MYR
2001-04-11,0.01,0.01,0.01,0.01,6115208,MYR
2001-04-12,0.01,0.01,0.01,0.01,2935300,MYR
2001-04-13,0.01,0.01,0.01,0.01,3179908,MYR
2001-04-16,0.01,0.01,0.01,0.01,3546820,MYR
2001-04-17,0.01,0.01,0.01,0.01,17122580,MYR
2001-04-18,0.01,0.01,0.01,0.01,24093916,MYR
2001-04-19,0.01,0.01,0.01,0.01,16144147,MYR
2001-04-20,0.01,0.01,0.01,0.01,26417696,MYR
2001-04-23,0.01,0.01,0.01,0.01,6604424,MYR
2001-04-24,0.01,0.01,0.01,0.01,3669125,MYR
2001-04-25,0.01,0.01,0.01,0.01,1712258,MYR
2001-04-26,0.01,0.01,0.01,0.01,3302212,MYR
2001-04-27,0.01,0.01,0.01,0.01,2568387,MYR
2001-04-30,0.01,0.01,0.01,0.01,5381383,MYR
2001-05-02,0.01,0.01,0.01,0.01,5870599,MYR
2001-05-03,0.01,0.01,0.01,0.01,6726728,MYR
2001-05-04,0.01,0.01,0.01,0.01,4280645,MYR
2001-05-08,0.01,0.01,0.01,0.01,7582857,MYR
2001-05-09,0.01,0.02,0.01,0.02,12719631,MYR
2001-05-10,0.02,0.02,0.02,0.02,14431889,MYR
2001-05-11,0.02,0.02,0.01,0.01,8194378,MYR
2001-05-14,0.01,0.01,0.01,0.01,13331152,MYR
2001-05-15,0.01,0.01,0.01,0.01,5870599,MYR
2001-05-16,0.01,0.01,0.01,0.01,3424516,MYR
2001-05-17,0.01,0.01,0.01,0.01,4158341,MYR
2001-05-21,0.01,0.01,0.01,0.01,3302212,MYR
2001-05-22,0.01,0.01,0.01,0.01,1956866,MYR
2001-05-23,0.01,0.01,0.01,0.01,3057604,MYR
2001-05-24,0.01,0.01,0.01,0.01,13698064,MYR
2001-05-25,0.01,0.01,0.01,0.01,4402950,MYR
2001-05-28,0.01,0.01,0.01,0.01,1100737,MYR
2001-05-29,0.01,0.01,0.01,0.01,1223042,MYR
2001-05-30,0.01,0.01,0.01,0.01,1467650,MYR
2001-05-31,0.01,0.01,0.01,0.01,4158341,MYR
2001-06-01,0.01,0.01,0.01,0.01,3424516,MYR
2001-06-05,0.01,0.01,0.01,0.01,1223042,MYR
2001-06-06,0.01,0.01,0.01,0.01,733825,MYR
2001-06-07,0.01,0.01,0.01,0.01,1345346,MYR
2001-06-08,0.01,0.01,0.01,0.01,1345346,MYR
2001-06-11,0.01,0.01,0.01,0.01,1956866,MYR
2001-06-12,0.01,0.01,0.01,0.01,1956866,MYR
2001-06-13,0.01,0.01,0.01,0.01,2690691,MYR
2001-06-14,0.01,0.01,0.01,0.01,733825,MYR
2001-06-15,0.01,0.01,0.01,0.01,978433,MYR
2001-06-18,0.01,0.01,0.01,0.01,1345346,MYR
2001-06-19,0.01,0.01,0.01,0.01,2446083,MYR
2001-06-21,0.01,0.01,0.01,0.01,611521,MYR
2001-06-22,0.01,0.01,0.01,0.01,489217,MYR
2001-06-25,0.01,0.01,0.01,0.01,611521,MYR
2001-06-26,0.01,0.01,0.01,0.01,611521,MYR
2001-06-27,0.01,0.01,0.01,0.01,1467650,MYR
2001-06-28,0.01,0.01,0.01,0.01,1345346,MYR
2001-06-29,0.01,0.01,0.01,0.01,3546820,MYR
2001-07-02,0.01,0.01,0.01,0.01,978433,MYR
2001-07-03,0.01,0.01,0.01,0.01,244608,MYR
2001-07-05,0.01,0.01,0.01,0.01,1223042,MYR
2001-07-06,0.01,0.01,0.01,0.01,366912,MYR
2001-07-09,0.01,0.01,0.01,0.01,978433,MYR
2001-07-10,0.01,0.01,0.01,0.01,489217,MYR
2001-07-11,0.01,0.01,0.01,0.01,978433,MYR
2001-07-12,0.01,0.01,0.01,0.01,978433,MYR
2001-07-13,0.01,0.01,0.01,0.01,244608,MYR
2001-07-16,0.01,0.01,0.01,0.01,1345346,MYR
2001-07-17,0.01,0.01,0.01,0.01,978433,MYR
2001-07-18,0.01,0.01,0.01,0.01,2201475,MYR
2001-07-19,0.01,0.01,0.01,0.01,2323779,MYR
2001-07-20,0.01,0.01,0.01,0.01,2079171,MYR
2001-07-23,0.01,0.01,0.01,0.01,2323779,MYR
2001-07-24,0.01,0.01,0.01,0.01,489217,MYR
2001-07-26,0.01,0.01,0.01,0.01,1834562,MYR
2001-07-27,0.01,0.01,0.01,0.01,1834562,MYR
2001-07-30,0.01,0.01,0.01,0.01,11985806,MYR
2001-07-31,0.01,0.01,0.01,0.01,2812996,MYR
2001-08-01,0.01,0.01,0.01,0.01,1956866,MYR
2001-08-02,0.01,0.01,0.01,0.01,1345346,MYR
2001-08-03,0.01,0.01,0.01,0.01,1100737,MYR
2001-08-07,0.01,0.01,0.01,0.01,1100737,MYR
2001-08-08,0.01,0.01,0.01,0.01,856129,MYR
2001-08-09,0.01,0.01,0.01,0.01,1712258,MYR
2001-08-10,0.01,0.01,0.01,0.01,611521,MYR
2001-08-14,0.01,0.01,0.01,0.01,1100737,MYR
2001-08-15,0.01,0.01,0.01,0.01,1834562,MYR
2001-08-16,0.01,0.01,0.01,0.01,489217,MYR
2001-08-20,0.01,0.01,0.01,0.01,733825,MYR
2001-08-22,0.01,0.01,0.01,0.01,733825,MYR
2001-08-23,0.01,0.01,0.01,0.01,5870599,MYR
2001-08-24,0.01,0.01,0.01,0.01,978433,MYR
2001-08-27,0.01,0.01,0.01,0.01,1345346,MYR
2001-08-28,0.01,0.01,0.01,0.01,4158341,MYR
2001-08-29,0.01,0.01,0.01,0.01,3669125,MYR
2001-08-30,0.01,0.01,0.01,0.01,5381383,MYR
2001-09-03,0.01,0.01,0.01,0.01,1467650,MYR
2001-09-04,0.01,0.01,0.01,0.01,4525254,MYR
2001-09-05,0.01,0.02,0.01,0.02,10395852,MYR
2001-09-06,0.02,0.02,0.01,0.01,2812996,MYR
2001-09-07,0.01,0.02,0.01,0.02,2201475,MYR
2001-09-10,0.02,0.02,0.01,0.02,2935300,MYR
2001-09-11,0.02,0.02,0.01,0.02,6115208,MYR
2001-09-13,0.01,0.01,0.01,0.01,9906636,MYR
2001-09-14,0.01,0.01,0.01,0.01,3179908,MYR
2001-09-17,0.01,0.01,0.01,0.01,3669125,MYR
2001-09-18,0.01,0.01,0.01,0.01,2323779,MYR
2001-09-19,0.01,0.01,0.01,0.01,1834562,MYR
2001-09-20,0.01,0.01,0.01,0.01,1345346,MYR
2001-09-21,0.01,0.01,0.01,0.01,611521,MYR
2001-09-24,0.01,0.01,0.01,0.01,122304,MYR
2001-09-25,0.01,0.01,0.01,0.01,489217,MYR
2001-09-26,0.01,0.01,0.01,0.01,611521,MYR
2001-09-27,0.01,0.01,0.01,0.01,856129,MYR
2001-09-28,0.01,0.01,0.01,0.01,366912,MYR
2001-10-01,0.01,0.01,0.01,0.01,856129,MYR
2001-10-02,0.01,0.01,0.01,0.01,244608,MYR
2001-10-03,0.01,0.01,0.01,0.01,1589954,MYR
2001-10-04,0.01,0.01,0.01,0.01,244608,MYR
2001-10-05,0.01,0.01,0.01,0.01,1223042,MYR
2001-10-08,0.01,0.01,0.01,0.01,856129,MYR
2001-10-09,0.01,0.01,0.01,0.01,856129,MYR
2001-10-12,0.01,0.01,0.01,0.01,856129,MYR
2001-10-16,0.01,0.01,0.01,0.01,611521,MYR
2001-10-17,0.01,0.02,0.01,0.02,70569496,MYR
2001-10-18,0.02,0.02,0.02,0.02,132333088,MYR
2001-10-19,0.02,0.02,0.02,0.02,10395852,MYR
2001-10-22,0.02,0.02,0.01,0.01,11863502,MYR
2001-10-23,0.02,0.02,0.01,0.02,28129954,MYR
2001-10-24,0.02,0.02,0.01,0.02,29230692,MYR
2001-10-25,0.02,0.02,0.01,0.02,5503687,MYR
2001-10-26,0.02,0.02,0.01,0.02,11618894,MYR
2001-10-29,0.01,0.02,0.01,0.01,10273548,MYR
2001-10-30,0.01,0.01,0.01,0.01,11251982,MYR
2001-10-31,0.01,0.02,0.01,0.02,27151520,MYR
2001-11-01,0.02,0.02,0.01,0.02,8438986,MYR
2001-11-02,0.02,0.02,0.01,0.02,5014470,MYR
2001-11-05,0.02,0.02,0.02,0.02,10640461,MYR
2001-11-06,0.02,0.02,0.02,0.02,2935300,MYR
2001-11-07,0.02,0.02,0.02,0.02,6237512,MYR
2001-11-08,0.02,0.02,0.02,0.02,12475023,MYR
2001-11-09,0.02,0.02,0.02,0.02,25928480,MYR
2001-11-12,0.02,0.02,0.02,0.02,10151244,MYR
2001-11-13,0.02,0.02,0.02,0.02,2935300,MYR
2001-11-15,0.02,0.02,0.02,0.02,20180184,MYR
2001-11-16,0.02,0.02,0.02,0.02,23237788,MYR
2001-11-19,0.02,0.02,0.02,0.02,42194932,MYR
2001-11-20,0.02,0.02,0.02,0.02,56015300,MYR
2001-11-21,0.02,0.02,0.02,0.02,98944056,MYR
2001-11-23,0.02,0.02,0.02,0.02,107260736,MYR
2001-11-26,0.02,0.02,0.02,0.02,127685528,MYR
2001-11-27,0.02,0.02,0.02,0.02,59072904,MYR
2001-11-28,0.02,0.02,0.02,0.02,76807008,MYR
2001-11-29,0.02,0.02,0.02,0.02,75217048,MYR
2001-11-30,0.02,0.02,0.02,0.02,173671888,MYR
2001-12-03,0.02,0.02,0.02,0.02,131354656,MYR
2001-12-04,0.02,0.02,0.02,0.02,106404608,MYR
2001-12-05,0.02,0.02,0.02,0.02,84512168,MYR
2001-12-06,0.02,0.02,0.02,0.02,71425624,MYR
2001-12-07,0.02,0.02,0.02,0.02,193852080,MYR
2001-12-10,0.02,0.03,0.02,0.02,174772624,MYR
2001-12-11,0.02,0.02,0.02,0.02,73260184,MYR
2001-12-12,0.02,0.02,0.02,0.02,55281476,MYR
2001-12-13,0.02,0.02,0.02,0.02,109829120,MYR
2001-12-14,0.02,0.02,0.02,0.02,175139536,MYR
2001-12-20,0.02,0.02,0.02,0.02,63108940,MYR
2001-12-21,0.02,0.02,0.02,0.02,53569216,MYR
2001-12-24,0.02,0.02,0.02,0.02,45986360,MYR
