Date,Open,High,Low,Close,Volume,Currency
2013-02-26,0.185,0.185,0.185,0.185,1000,MYR
2013-02-27,0.19,0.19,0.185,0.185,11000,MYR
2013-02-28,0.185,0.185,0.185,0.185,3000,MYR
2013-03-04,0.185,0.185,0.185,0.185,2000,MYR
2013-03-05,0.185,0.185,0.185,0.185,5000,MYR
2013-03-06,0.185,0.19,0.185,0.185,32000,MYR
2013-03-08,0.185,0.19,0.185,0.19,29500,MYR
2013-03-12,0.19,0.19,0.19,0.19,20000,MYR
2013-03-13,0.19,0.19,0.19,0.19,20000,MYR
2013-03-14,0.185,0.185,0.185,0.185,1000,MYR
2013-03-15,0.185,0.185,0.185,0.185,10000,MYR
2013-03-18,0.185,0.19,0.185,0.19,42000,MYR
2013-03-19,0.19,0.19,0.19,0.19,2000,MYR
2013-03-21,0.195,0.195,0.19,0.19,23000,MYR
2013-03-25,0.19,0.2,0.19,0.2,41300,MYR
2013-03-26,0.19,0.2,0.19,0.2,25000,MYR
2013-03-28,0.19,0.19,0.19,0.19,500,MYR
2013-03-29,0.2,0.2,0.19,0.2,55100,MYR
2013-04-01,0.2,0.2,0.2,0.2,10000,MYR
2013-04-02,0.19,0.19,0.19,0.19,7000,MYR
2013-04-04,0.19,0.2,0.19,0.195,9100,MYR
2013-04-08,0.19,0.2,0.19,0.2,12000,MYR
2013-04-11,0.2,0.2,0.19,0.19,15000,MYR
2013-04-12,0.195,0.195,0.195,0.195,41000,MYR
2013-04-15,0.185,0.185,0.185,0.185,3000,MYR
2013-04-17,0.19,0.21,0.19,0.21,1500,MYR
2013-04-19,0.195,0.2,0.195,0.195,29000,MYR
2013-04-23,0.19,0.19,0.19,0.19,30000,MYR
2013-04-25,0.185,0.185,0.185,0.185,39000,MYR
2013-04-26,0.185,0.19,0.185,0.185,120000,MYR
2013-04-29,0.185,0.185,0.185,0.185,2000,MYR
2013-04-30,0.19,0.19,0.19,0.19,50000,MYR
2013-05-03,0.185,0.185,0.185,0.185,1000,MYR
2013-05-06,0.19,0.205,0.19,0.205,2200,MYR
2013-05-07,0.19,0.205,0.19,0.205,15100,MYR
2013-05-08,0.19,0.21,0.19,0.21,27400,MYR
2013-05-09,0.185,0.2,0.185,0.19,16300,MYR
2013-05-13,0.195,0.215,0.195,0.215,137400,MYR
2013-05-14,0.205,0.215,0.205,0.21,53000,MYR
