Date,Open,High,Low,Close,Volume,Currency
2013-03-19,1.17,1.18,1.17,1.18,87600,MYR
2013-03-20,1.17,1.17,1.16,1.16,661300,MYR
2013-03-21,1.17,1.18,1.17,1.18,26000,MYR
2013-03-22,1.18,1.18,1.17,1.18,69100,MYR
2013-03-25,1.17,1.18,1.17,1.18,17000,MYR
2013-03-26,1.18,1.18,1.17,1.18,46400,MYR
2013-03-27,1.18,1.18,1.18,1.18,53600,MYR
2013-03-28,1.18,1.19,1.18,1.19,68600,MYR
2013-03-29,1.18,1.2,1.18,1.2,207500,MYR
2013-04-01,1.19,1.2,1.19,1.2,18000,MYR
2013-04-02,1.2,1.21,1.2,1.2,175500,MYR
2013-04-03,1.21,1.21,1.19,1.2,185400,MYR
2013-04-04,1.2,1.21,1.2,1.21,142000,MYR
2013-04-05,1.2,1.22,1.2,1.22,62000,MYR
2013-04-08,1.22,1.22,1.21,1.22,157800,MYR
2013-04-09,1.22,1.24,1.21,1.23,279700,MYR
2013-04-10,1.22,1.24,1.22,1.23,271400,MYR
2013-04-11,1.23,1.24,1.23,1.23,340200,MYR
2013-04-12,1.24,1.24,1.22,1.22,487500,MYR
2013-04-15,1.22,1.23,1.22,1.22,52500,MYR
2013-04-16,1.22,1.22,1.21,1.21,102100,MYR
2013-04-17,1.21,1.24,1.21,1.24,390400,MYR
2013-04-18,1.23,1.25,1.23,1.24,481000,MYR
2013-04-19,1.25,1.28,1.25,1.27,1078000,MYR
2013-04-22,1.27,1.29,1.26,1.27,210700,MYR
2013-04-23,1.26,1.26,1.23,1.23,232600,MYR
2013-04-24,1.23,1.24,1.23,1.24,236000,MYR
2013-04-25,1.23,1.24,1.23,1.23,940300,MYR
2013-04-26,1.23,1.24,1.22,1.24,252800,MYR
2013-04-29,1.24,1.24,1.22,1.24,205200,MYR
2013-04-30,1.23,1.23,1.22,1.23,146700,MYR
2013-05-02,1.22,1.24,1.21,1.21,501500,MYR
2013-05-03,1.21,1.22,1.21,1.22,326800,MYR
2013-05-06,1.24,1.25,1.23,1.25,386800,MYR
2013-05-07,1.25,1.27,1.25,1.26,212400,MYR
2013-05-08,1.27,1.27,1.25,1.25,257500,MYR
2013-05-09,1.25,1.28,1.25,1.28,469600,MYR
2013-05-10,1.28,1.3,1.27,1.3,698800,MYR
2013-05-13,1.3,1.33,1.3,1.32,1055800,MYR
2013-05-14,1.34,1.34,1.31,1.31,798500,MYR
2013-05-15,1.32,1.32,1.29,1.31,1390700,MYR
2013-05-16,1.31,1.31,1.28,1.29,377200,MYR
2013-05-17,1.3,1.31,1.29,1.31,148300,MYR
2013-05-20,1.31,1.34,1.31,1.33,1380400,MYR
2013-05-21,1.34,1.39,1.34,1.38,1815300,MYR
2013-05-22,1.38,1.38,1.33,1.34,1215600,MYR
2013-05-23,1.34,1.35,1.32,1.33,724500,MYR
2013-05-27,1.33,1.34,1.32,1.33,397600,MYR
2013-05-28,1.31,1.34,1.31,1.34,1278500,MYR
2013-05-29,1.35,1.36,1.33,1.33,1165400,MYR
2013-05-30,1.33,1.33,1.3,1.32,1821800,MYR
2013-05-31,1.33,1.33,1.29,1.31,1417900,MYR
2013-06-03,1.3,1.33,1.3,1.33,213000,MYR
2013-06-04,1.33,1.34,1.33,1.33,703500,MYR
2013-06-05,1.33,1.34,1.31,1.31,910200,MYR
2013-06-06,1.33,1.33,1.3,1.3,974100,MYR
2013-06-07,1.32,1.33,1.32,1.33,138400,MYR
2013-06-10,1.33,1.34,1.32,1.32,808000,MYR
2013-06-11,1.33,1.33,1.31,1.32,1127500,MYR
2013-06-12,1.32,1.33,1.3,1.31,1061500,MYR
2013-06-13,1.32,1.33,1.31,1.33,203200,MYR
2013-06-14,1.33,1.35,1.33,1.34,571300,MYR
2013-06-17,1.34,1.36,1.34,1.36,759800,MYR
2013-06-18,1.36,1.37,1.36,1.36,433000,MYR
2013-06-19,1.36,1.38,1.36,1.38,686800,MYR
2013-06-20,1.38,1.38,1.35,1.36,265500,MYR
2013-06-21,1.34,1.36,1.33,1.36,511100,MYR
2013-06-24,1.36,1.36,1.33,1.33,455500,MYR
2013-06-25,1.32,1.34,1.32,1.33,710700,MYR
2013-06-26,1.26,1.26,1.23,1.25,470700,MYR
2013-06-27,1.25,1.27,1.25,1.27,345700,MYR
2013-06-28,1.27,1.28,1.26,1.28,383200,MYR
2013-07-01,1.28,1.28,1.27,1.28,308400,MYR
2013-07-02,1.28,1.29,1.28,1.28,255000,MYR
2013-07-03,1.28,1.29,1.28,1.28,209000,MYR
2013-07-04,1.28,1.29,1.27,1.27,79800,MYR
2013-07-05,1.27,1.28,1.27,1.28,90900,MYR
2013-07-08,1.28,1.28,1.27,1.27,66200,MYR
2013-07-09,1.28,1.28,1.27,1.27,89000,MYR
2013-07-10,1.27,1.27,1.26,1.26,40000,MYR
2013-07-11,1.27,1.27,1.26,1.26,46200,MYR
2013-07-12,1.27,1.27,1.25,1.25,194000,MYR
2013-07-15,1.26,1.26,1.25,1.26,95500,MYR
2013-07-16,1.26,1.27,1.26,1.26,110800,MYR
2013-07-17,1.27,1.28,1.27,1.27,187300,MYR
2013-07-18,1.28,1.29,1.28,1.29,196400,MYR
2013-07-19,1.29,1.29,1.28,1.28,138300,MYR
2013-07-22,1.28,1.28,1.27,1.27,118700,MYR
2013-07-23,1.27,1.28,1.27,1.27,61400,MYR
2013-07-24,1.28,1.29,1.27,1.29,242100,MYR
2013-07-25,1.27,1.3,1.27,1.3,410900,MYR
2013-07-26,1.3,1.35,1.3,1.35,724700,MYR
2013-07-29,1.36,1.36,1.32,1.32,408200,MYR
2013-07-30,1.32,1.33,1.29,1.3,345100,MYR
2013-07-31,1.3,1.3,1.27,1.29,483600,MYR
2013-08-01,1.3,1.33,1.3,1.32,80300,MYR
2013-08-02,1.33,1.35,1.33,1.35,327800,MYR
2013-08-05,1.34,1.34,1.31,1.32,145500,MYR
2013-08-06,1.33,1.34,1.32,1.32,82900,MYR
2013-08-07,1.31,1.33,1.29,1.33,159900,MYR
2013-08-12,1.33,1.33,1.32,1.33,113900,MYR
2013-08-13,1.33,1.34,1.33,1.33,122000,MYR
2013-08-14,1.35,1.35,1.33,1.33,468700,MYR
2013-08-15,1.34,1.37,1.34,1.36,609200,MYR
2013-08-16,1.35,1.36,1.34,1.36,315700,MYR
2013-08-19,1.35,1.5,1.35,1.46,2006400,MYR
2013-08-20,1.46,1.46,1.4,1.4,839700,MYR
2013-08-21,1.4,1.48,1.4,1.46,1195800,MYR
2013-08-22,1.46,1.46,1.42,1.46,995900,MYR
2013-08-23,1.45,1.46,1.44,1.45,418800,MYR
2013-08-26,1.44,1.45,1.41,1.44,1065100,MYR
2013-08-27,1.42,1.42,1.32,1.36,968000,MYR
2013-08-28,1.34,1.35,1.31,1.35,994000,MYR
2013-08-29,1.34,1.36,1.33,1.33,501700,MYR
2013-08-30,1.34,1.35,1.33,1.35,281100,MYR
2013-09-02,1.34,1.34,1.32,1.33,244000,MYR
2013-09-03,1.33,1.35,1.32,1.34,157900,MYR
2013-09-04,1.33,1.34,1.33,1.34,181200,MYR
2013-09-05,1.34,1.35,1.34,1.34,69200,MYR
2013-09-06,1.35,1.37,1.35,1.37,113500,MYR
2013-09-09,1.37,1.45,1.37,1.45,1426700,MYR
2013-09-10,1.45,1.46,1.43,1.44,692600,MYR
2013-09-11,1.43,1.44,1.42,1.42,264200,MYR
2013-09-12,1.42,1.43,1.39,1.41,234500,MYR
2013-09-13,1.4,1.4,1.4,1.4,101400,MYR
2013-09-17,1.41,1.45,1.41,1.45,826300,MYR
2013-09-18,1.45,1.45,1.42,1.44,227000,MYR
2013-09-19,1.45,1.5,1.44,1.49,950800,MYR
2013-09-20,1.49,1.49,1.45,1.45,343600,MYR
2013-09-23,1.45,1.45,1.45,1.45,57000,MYR
2013-09-24,1.45,1.45,1.44,1.44,77000,MYR
2013-09-25,1.45,1.47,1.45,1.46,335100,MYR
2013-09-26,1.45,1.46,1.45,1.45,135800,MYR
2013-09-27,1.45,1.47,1.45,1.46,114700,MYR
2013-09-30,1.46,1.47,1.45,1.47,137300,MYR
2013-10-01,1.45,1.46,1.45,1.45,230900,MYR
2013-10-02,1.46,1.46,1.45,1.45,152100,MYR
2013-10-03,1.45,1.46,1.44,1.45,126700,MYR
2013-10-04,1.44,1.45,1.44,1.44,71200,MYR
2013-10-07,1.43,1.44,1.42,1.44,200800,MYR
2013-10-08,1.44,1.44,1.43,1.44,15800,MYR
2013-10-09,1.43,1.43,1.42,1.43,49000,MYR
2013-10-10,1.42,1.42,1.39,1.42,394800,MYR
2013-10-11,1.42,1.44,1.42,1.43,102900,MYR
2013-10-14,1.42,1.43,1.42,1.42,63800,MYR
2013-10-16,1.42,1.45,1.42,1.45,167100,MYR
2013-10-17,1.44,1.45,1.44,1.44,46200,MYR
2013-10-18,1.44,1.45,1.44,1.45,130300,MYR
2013-10-21,1.44,1.46,1.44,1.46,157000,MYR
2013-10-22,1.45,1.46,1.44,1.44,103400,MYR
2013-10-23,1.45,1.46,1.44,1.44,123600,MYR
2013-10-24,1.45,1.45,1.44,1.45,133100,MYR
2013-10-25,1.45,1.45,1.43,1.43,133800,MYR
2013-10-28,1.43,1.45,1.43,1.45,151000,MYR
2013-10-29,1.45,1.45,1.43,1.43,79900,MYR
2013-10-30,1.44,1.46,1.44,1.46,231700,MYR
2013-10-31,1.47,1.47,1.44,1.45,62900,MYR
2013-11-01,1.45,1.45,1.45,1.45,22000,MYR
2013-11-04,1.46,1.48,1.45,1.48,135000,MYR
2013-11-06,1.48,1.48,1.48,1.48,79700,MYR
2013-11-07,1.48,1.49,1.48,1.49,122200,MYR
2013-11-08,1.49,1.5,1.48,1.5,176000,MYR
2013-11-11,1.48,1.49,1.47,1.47,129000,MYR
2013-11-12,1.48,1.48,1.46,1.47,81000,MYR
2013-11-13,1.48,1.48,1.46,1.46,66000,MYR
2013-11-14,1.46,1.47,1.46,1.46,206000,MYR
2013-11-15,1.46,1.53,1.46,1.53,297600,MYR
2013-11-18,1.53,1.53,1.48,1.5,935400,MYR
2013-11-19,1.5,1.51,1.5,1.51,766000,MYR
2013-11-20,1.48,1.48,1.4,1.44,1407200,MYR
2013-11-21,1.44,1.44,1.4,1.4,648400,MYR
2013-11-22,1.39,1.4,1.38,1.38,363200,MYR
2013-11-25,1.38,1.39,1.36,1.37,327800,MYR
2013-11-26,1.38,1.41,1.37,1.41,201400,MYR
2013-11-27,1.41,1.41,1.37,1.37,464100,MYR
2013-11-28,1.37,1.39,1.37,1.39,197700,MYR
2013-11-29,1.4,1.41,1.39,1.4,172000,MYR
2013-12-02,1.41,1.41,1.39,1.4,117400,MYR
2013-12-03,1.4,1.42,1.38,1.39,251100,MYR
2013-12-04,1.39,1.39,1.38,1.39,171000,MYR
2013-12-05,1.39,1.4,1.38,1.38,437900,MYR
2013-12-06,1.39,1.43,1.38,1.42,899900,MYR
2013-12-09,1.42,1.5,1.42,1.44,974100,MYR
2013-12-10,1.46,1.49,1.43,1.43,817300,MYR
2013-12-11,1.41,1.41,1.39,1.4,1040300,MYR
2013-12-12,1.4,1.4,1.38,1.39,111200,MYR
2013-12-13,1.39,1.39,1.37,1.37,848600,MYR
2013-12-16,1.38,1.39,1.36,1.36,1120500,MYR
2013-12-17,1.38,1.38,1.36,1.36,222700,MYR
2013-12-18,1.36,1.36,1.35,1.35,104700,MYR
2013-12-19,1.36,1.36,1.35,1.35,392300,MYR
2013-12-20,1.35,1.39,1.35,1.39,97800,MYR
2013-12-23,1.37,1.37,1.36,1.36,28800,MYR
2013-12-24,1.36,1.37,1.35,1.36,133200,MYR
2013-12-26,1.36,1.36,1.34,1.34,113800,MYR
2013-12-27,1.35,1.36,1.35,1.35,227500,MYR
2013-12-30,1.38,1.39,1.37,1.38,127500,MYR
