Date,Open,High,Low,Close,Volume,Currency
2014-07-07,0.05,0.05,0.045,0.045,85200,MYR
2014-07-08,0.045,0.05,0.045,0.05,100100,MYR
2014-07-14,0.045,0.05,0.045,0.05,85200,MYR
2014-07-16,0.045,0.045,0.045,0.045,150000,MYR
2014-07-17,0.045,0.045,0.045,0.045,27500,MYR
2014-07-18,0.045,0.045,0.045,0.045,350000,MYR
2014-07-21,0.045,0.045,0.045,0.045,70000,MYR
2014-07-22,0.045,0.045,0.045,0.045,720000,MYR
2014-07-23,0.045,0.05,0.045,0.05,800100,MYR
2014-07-24,0.05,0.05,0.045,0.045,10100,MYR
2014-07-25,0.045,0.05,0.045,0.05,250000,MYR
2014-07-30,0.05,0.06,0.05,0.055,8107500,MYR
2014-07-31,0.055,0.06,0.055,0.06,722000,MYR
2014-08-01,0.06,0.06,0.055,0.055,1140000,MYR
2014-08-04,0.055,0.06,0.055,0.06,458100,MYR
2014-08-05,0.06,0.06,0.05,0.05,1120200,MYR
2014-08-06,0.05,0.055,0.05,0.055,1025000,MYR
2014-08-07,0.05,0.06,0.05,0.06,1364200,MYR
2014-08-08,0.06,0.06,0.055,0.055,1106000,MYR
2014-08-11,0.055,0.06,0.055,0.06,311000,MYR
2014-08-12,0.055,0.06,0.055,0.06,115400,MYR
2014-08-13,0.05,0.06,0.05,0.06,220200,MYR
2014-08-14,0.055,0.055,0.055,0.055,626900,MYR
2014-08-15,0.055,0.06,0.055,0.06,45000,MYR
2014-08-18,0.06,0.06,0.06,0.06,500000,MYR
2014-08-19,0.055,0.07,0.055,0.07,15343700,MYR
2014-08-20,0.065,0.07,0.055,0.06,4590800,MYR
2014-08-21,0.06,0.065,0.06,0.065,310900,MYR
2014-08-22,0.06,0.06,0.055,0.06,858000,MYR
2014-08-25,0.055,0.06,0.055,0.06,624100,MYR
2014-08-26,0.06,0.06,0.055,0.055,649000,MYR
2014-08-27,0.055,0.06,0.055,0.055,1110000,MYR
2014-08-28,0.055,0.06,0.055,0.055,475800,MYR
2014-08-29,0.06,0.06,0.055,0.055,400400,MYR
2014-09-02,0.055,0.055,0.055,0.055,465000,MYR
2014-09-03,0.055,0.055,0.055,0.055,330900,MYR
2014-09-04,0.055,0.055,0.055,0.055,10000,MYR
2014-09-08,0.055,0.055,0.055,0.055,9000,MYR
2014-09-09,0.055,0.055,0.055,0.055,100000,MYR
2014-09-10,0.055,0.06,0.055,0.06,575100,MYR
2014-09-11,0.055,0.055,0.055,0.055,200,MYR
2014-09-12,0.055,0.055,0.055,0.055,119000,MYR
2014-09-15,0.055,0.06,0.055,0.06,350400,MYR
2014-09-17,0.055,0.055,0.055,0.055,110000,MYR
2014-09-18,0.055,0.055,0.055,0.055,100000,MYR
2014-09-19,0.055,0.055,0.055,0.055,200000,MYR
2014-09-22,0.055,0.055,0.055,0.055,305900,MYR
2014-09-23,0.055,0.06,0.055,0.055,724000,MYR
2014-09-24,0.055,0.055,0.055,0.055,212000,MYR
2014-09-25,0.055,0.055,0.055,0.055,150000,MYR
2014-09-26,0.055,0.055,0.055,0.055,129000,MYR
2014-09-29,0.055,0.055,0.055,0.055,164800,MYR
2014-09-30,0.055,0.06,0.055,0.06,215100,MYR
2014-10-01,0.055,0.055,0.055,0.055,571000,MYR
2014-10-02,0.055,0.055,0.055,0.055,42500,MYR
2014-10-08,0.05,0.055,0.05,0.05,2148800,MYR
2014-10-09,0.05,0.05,0.05,0.05,519500,MYR
2014-10-10,0.05,0.05,0.05,0.05,273000,MYR
2014-10-13,0.05,0.05,0.05,0.05,112000,MYR
2014-10-14,0.05,0.05,0.045,0.045,553600,MYR
2014-10-15,0.045,0.045,0.045,0.045,136900,MYR
2014-10-16,0.045,0.05,0.045,0.05,540200,MYR
2014-10-17,0.045,0.045,0.045,0.045,800900,MYR
2014-10-20,0.045,0.05,0.045,0.05,392500,MYR
2014-10-21,0.045,0.045,0.045,0.045,196900,MYR
2014-10-23,0.045,0.045,0.045,0.045,92800,MYR
2014-10-27,0.045,0.045,0.045,0.045,112000,MYR
2014-10-28,0.045,0.045,0.045,0.045,99500,MYR
2014-10-29,0.05,0.05,0.05,0.05,10000,MYR
2014-10-30,0.05,0.05,0.05,0.05,10000,MYR
2014-10-31,0.045,0.05,0.045,0.05,68000,MYR
2014-11-04,0.045,0.045,0.045,0.045,10000,MYR
2014-11-05,0.045,0.045,0.045,0.045,55000,MYR
2014-11-06,0.05,0.055,0.045,0.055,7944900,MYR
2014-11-07,0.055,0.055,0.05,0.05,313600,MYR
2014-11-10,0.055,0.06,0.055,0.055,2670000,MYR
