Date,Open,High,Low,Close,Volume,Currency
2013-02-26,6.95,6.96,6.95,6.96,44300,MYR
2013-02-27,6.97,6.99,6.97,6.99,24200,MYR
2013-02-28,6.96,6.99,6.96,6.99,56500,MYR
2013-03-01,6.95,6.97,6.95,6.96,27000,MYR
2013-03-04,6.96,7.0,6.95,6.98,52400,MYR
2013-03-05,6.96,6.96,6.96,6.96,3000,MYR
2013-03-06,6.97,7.05,6.97,7.05,87000,MYR
2013-03-07,7.07,7.14,7.06,7.1,59000,MYR
2013-03-08,7.14,7.26,7.14,7.24,112800,MYR
2013-03-11,7.27,7.37,7.27,7.34,45800,MYR
2013-03-12,7.35,7.47,7.35,7.47,88800,MYR
2013-03-13,7.48,7.52,7.37,7.37,25500,MYR
2013-03-14,7.37,7.44,7.35,7.44,30200,MYR
2013-03-15,7.35,7.35,7.32,7.33,6600,MYR
2013-03-18,7.3,7.3,7.28,7.28,67700,MYR
2013-03-19,7.28,7.3,7.28,7.3,46400,MYR
2013-03-20,7.28,7.3,7.28,7.29,38200,MYR
2013-03-21,7.3,7.3,7.3,7.3,16500,MYR
2013-03-22,7.3,7.3,7.3,7.3,1000,MYR
2013-03-25,7.26,7.32,7.25,7.25,75900,MYR
2013-03-26,7.28,7.28,7.25,7.28,62100,MYR
2013-03-27,7.28,7.3,7.28,7.28,60300,MYR
2013-03-28,7.28,7.29,7.28,7.29,18700,MYR
2013-03-29,7.26,7.29,7.26,7.28,49800,MYR
2013-04-01,7.26,7.26,7.24,7.26,33600,MYR
2013-04-02,7.27,7.3,7.27,7.27,58500,MYR
2013-04-03,7.28,7.28,7.23,7.24,142400,MYR
2013-04-04,7.25,7.25,7.24,7.25,62300,MYR
2013-04-05,7.25,7.25,7.18,7.2,13500,MYR
2013-04-08,7.2,7.2,7.17,7.2,17500,MYR
2013-04-09,7.2,7.24,7.2,7.21,27100,MYR
2013-04-10,7.23,7.33,7.23,7.33,104400,MYR
2013-04-11,7.34,7.35,7.34,7.35,41600,MYR
2013-04-12,7.35,7.36,7.31,7.35,35400,MYR
2013-04-15,7.35,7.37,7.33,7.35,29400,MYR
2013-04-16,7.35,7.35,7.32,7.35,27700,MYR
2013-04-17,7.35,7.36,7.35,7.36,37500,MYR
2013-04-18,7.25,7.32,7.25,7.32,14400,MYR
2013-04-19,7.3,7.3,7.27,7.28,13000,MYR
2013-04-22,7.29,7.29,7.29,7.29,31600,MYR
2013-04-23,7.27,7.27,7.25,7.26,30500,MYR
2013-04-24,7.25,7.26,7.24,7.26,31000,MYR
2013-04-25,7.27,7.28,7.27,7.28,16000,MYR
2013-04-26,7.25,7.28,7.24,7.26,7700,MYR
2013-04-29,7.25,7.25,7.22,7.23,8000,MYR
2013-04-30,7.25,7.27,7.21,7.25,46500,MYR
2013-05-02,7.18,7.21,7.17,7.19,17800,MYR
2013-05-03,7.15,7.15,7.11,7.15,57400,MYR
2013-05-07,7.25,7.29,7.21,7.26,39300,MYR
2013-05-08,7.27,7.3,7.27,7.3,14700,MYR
2013-05-09,7.25,7.32,7.25,7.3,36700,MYR
