Date,Open,High,Low,Close,Volume,Currency
2011-09-05,7.35,7.35,7.12,7.22,625400,MYR
2011-09-06,7.08,7.2,7.08,7.18,1730700,MYR
2011-09-07,7.33,7.33,7.19,7.21,1317500,MYR
2011-09-08,7.21,7.25,7.19,7.19,920000,MYR
2011-09-09,7.29,7.3,7.2,7.2,1379700,MYR
2011-09-12,7.2,7.21,7.16,7.19,4667600,MYR
2011-09-13,7.19,7.2,7.18,7.19,2575000,MYR
2011-09-14,7.31,7.31,7.06,7.2,2504800,MYR
2011-09-15,7.07,7.07,6.96,6.99,1479000,MYR
2011-09-19,6.99,7.0,6.94,6.98,2950100,MYR
2011-09-20,7.08,7.08,6.92,6.96,844100,MYR
2011-09-21,6.96,7.0,6.96,6.99,3078900,MYR
2011-09-22,6.99,7.0,6.7,6.76,2049900,MYR
2011-09-23,6.7,6.73,6.5,6.7,2591600,MYR
2011-09-26,6.69,6.71,6.51,6.67,1628600,MYR
2011-09-27,6.43,6.68,6.43,6.65,1235400,MYR
2011-09-28,6.65,6.7,6.5,6.7,2744800,MYR
2011-09-29,6.53,6.95,6.53,6.89,536400,MYR
2011-09-30,7.0,7.0,6.65,6.85,1563400,MYR
2011-10-03,6.98,6.98,6.74,6.77,629700,MYR
2011-10-04,6.84,6.85,6.77,6.78,585000,MYR
2011-10-05,6.88,6.9,6.77,6.78,1164800,MYR
2011-10-06,6.8,6.87,6.75,6.79,613400,MYR
2011-10-07,6.82,6.82,6.72,6.78,1380700,MYR
2011-10-10,6.78,6.79,6.68,6.78,1102500,MYR
2011-10-11,6.84,6.98,6.77,6.78,2091500,MYR
2011-10-12,6.81,6.81,6.75,6.8,3447400,MYR
2011-10-13,6.71,6.8,6.71,6.8,1226200,MYR
2011-10-14,6.84,6.95,6.79,6.8,2313500,MYR
2011-10-17,6.85,6.85,6.79,6.84,1293000,MYR
2011-10-18,6.82,6.84,6.77,6.79,1453000,MYR
2011-10-19,6.8,6.8,6.73,6.79,739100,MYR
2011-10-20,6.66,6.73,6.66,6.72,1534900,MYR
2011-10-21,6.7,6.8,6.67,6.8,1339100,MYR
2011-10-24,6.71,6.76,6.68,6.7,1592800,MYR
2011-10-25,6.66,6.69,6.65,6.66,1204000,MYR
2011-10-27,6.8,6.8,6.65,6.66,3183500,MYR
2011-10-28,6.74,6.74,6.46,6.59,2001800,MYR
2011-10-31,6.57,6.68,6.57,6.63,957800,MYR
