Date,Open,High,Low,Close,Volume,Currency
2019-01-16,0.12,0.12,0.12,0.12,4000,MYR
2019-01-25,0.125,0.125,0.125,0.125,2000,MYR
2019-01-29,0.14,0.14,0.14,0.14,2000,MYR
2019-03-04,0.15,0.15,0.15,0.15,20000,MYR
2019-03-14,0.16,0.16,0.16,0.16,20000,MYR
2019-04-01,0.18,0.18,0.18,0.18,2000,MYR
2019-05-02,0.2,0.2,0.2,0.2,140000,MYR
2019-05-21,0.21,0.21,0.21,0.21,20000,MYR
2019-05-23,0.21,0.21,0.21,0.21,40000,MYR
2019-05-27,0.225,0.225,0.225,0.225,40000,MYR
2019-05-29,0.24,0.25,0.24,0.25,180000,MYR
2019-06-12,0.275,0.275,0.275,0.275,40000,MYR
2019-06-18,0.275,0.275,0.275,0.275,40000,MYR
2019-06-19,0.3,0.3,0.3,0.3,40000,MYR
2019-06-24,0.3,0.3,0.3,0.3,92000,MYR
2019-06-25,0.3,0.3,0.3,0.3,100000,MYR
2019-06-26,0.315,0.315,0.315,0.315,60000,MYR
2019-06-28,0.31,0.31,0.31,0.31,100000,MYR
2019-07-01,0.33,0.33,0.33,0.33,2000,MYR
2019-07-03,0.33,0.33,0.33,0.33,98000,MYR
2019-07-05,0.35,0.35,0.35,0.35,20000,MYR
2019-07-17,0.36,0.36,0.36,0.36,40000,MYR
2019-08-09,0.365,0.365,0.365,0.365,40000,MYR
2019-08-13,0.375,0.375,0.375,0.375,10000,MYR
2019-08-14,0.39,0.39,0.39,0.39,20000,MYR
2019-08-23,0.405,0.425,0.405,0.425,70000,MYR
2019-08-27,0.425,0.425,0.425,0.425,20000,MYR
2019-08-30,0.43,0.44,0.43,0.44,40000,MYR
2019-09-04,0.445,0.445,0.445,0.445,4000,MYR
2019-10-07,0.445,0.445,0.445,0.445,20000,MYR
2019-10-11,0.447,0.447,0.447,0.447,20000,MYR
2019-10-21,0.447,0.447,0.447,0.447,10000,MYR
2019-10-23,0.447,0.45,0.447,0.45,20000,MYR
2019-10-25,0.45,0.45,0.45,0.45,190000,MYR
2019-10-30,0.46,0.46,0.46,0.46,20000,MYR
2019-10-31,0.463,0.463,0.463,0.463,20000,MYR
2019-11-01,0.465,0.465,0.465,0.465,20000,MYR
2019-11-07,0.47,0.47,0.47,0.47,60000,MYR
2019-11-13,0.485,0.485,0.485,0.485,20000,MYR
2019-11-18,0.49,0.49,0.49,0.49,20000,MYR
2019-11-22,0.5,0.5,0.5,0.5,20000,MYR
2019-11-27,0.51,0.51,0.51,0.51,40000,MYR
2019-11-28,0.52,0.525,0.52,0.525,60000,MYR
2019-12-09,0.53,0.545,0.53,0.545,140000,MYR
2019-12-10,0.55,0.55,0.55,0.55,40000,MYR
2019-12-11,0.56,0.565,0.56,0.565,26000,MYR
2019-12-12,0.57,0.57,0.57,0.57,20000,MYR
2019-12-13,0.575,0.575,0.575,0.575,40000,MYR
2019-12-23,0.59,0.6,0.59,0.6,40000,MYR
2020-01-13,0.6,0.6,0.6,0.6,400000,MYR
2020-01-16,0.6,0.6,0.6,0.6,40000,MYR
2020-01-29,0.605,0.605,0.605,0.605,60000,MYR
2020-02-14,0.61,0.61,0.61,0.61,24000,MYR
2020-03-03,0.65,0.65,0.65,0.65,10000,MYR
2020-03-04,0.675,0.675,0.675,0.675,20000,MYR
2020-08-14,0.675,0.675,0.675,0.675,200000,MYR
2020-08-17,0.68,0.68,0.68,0.68,60000,MYR
2020-08-19,0.68,0.68,0.68,0.68,200000,MYR
2020-08-27,0.68,0.685,0.68,0.685,970000,MYR
2020-08-28,0.69,0.69,0.69,0.69,950000,MYR
2020-09-01,0.69,0.69,0.69,0.69,200000,MYR
2020-09-02,0.695,0.695,0.695,0.695,200000,MYR
2020-09-25,0.695,0.695,0.695,0.695,1082000,MYR
2020-10-02,0.695,0.7,0.695,0.7,40000,MYR
2020-10-20,0.7,0.7,0.7,0.7,100000,MYR
2020-10-30,0.7,0.7,0.7,0.7,100000,MYR
2020-12-15,0.7,0.7,0.7,0.7,100000,MYR
2020-12-18,0.755,0.77,0.755,0.77,8000,MYR
2020-12-21,0.77,0.78,0.77,0.78,28000,MYR
2020-12-22,0.78,0.78,0.78,0.78,2000,MYR
2020-12-28,0.79,0.79,0.79,0.79,10000,MYR
2021-01-11,0.79,0.79,0.79,0.79,10000,MYR
2021-01-12,0.0,0.0,0.0,0.79,0,MYR
2021-01-13,0.0,0.0,0.0,0.79,0,MYR
2021-01-14,0.0,0.0,0.0,0.79,0,MYR
2021-01-15,0.0,0.0,0.0,0.79,0,MYR
2021-01-18,0.79,0.79,0.79,0.79,1000,MYR
2021-01-19,0.0,0.0,0.0,0.79,0,MYR
2021-01-20,0.0,0.0,0.0,0.79,0,MYR
2021-01-21,0.0,0.0,0.0,0.79,0,MYR
2021-01-22,0.0,0.0,0.0,0.79,0,MYR
2021-01-25,0.0,0.0,0.0,0.79,0,MYR
2021-01-26,0.0,0.0,0.0,0.79,0,MYR
2021-01-27,0.0,0.0,0.0,0.79,0,MYR
2021-01-29,0.0,0.0,0.0,0.79,0,MYR
