Date,Open,High,Low,Close,Volume,Currency
2011-08-01,2.17,2.19,2.14,2.16,1793000,MYR
2011-08-02,2.18,2.18,2.1,2.13,1006400,MYR
2011-08-03,2.12,2.12,2.09,2.11,1597200,MYR
2011-08-04,2.12,2.13,2.08,2.08,899500,MYR
2011-08-05,2.05,2.05,1.98,2.0,2837400,MYR
2011-08-08,1.96,1.96,1.79,1.81,3913000,MYR
2011-08-09,1.65,1.77,1.6,1.67,5869000,MYR
2011-08-10,1.78,1.82,1.73,1.74,4697300,MYR
2011-08-11,1.68,1.74,1.67,1.73,1246900,MYR
2011-08-12,1.75,1.77,1.71,1.71,1360300,MYR
2011-08-15,1.72,1.75,1.72,1.74,1395300,MYR
2011-08-16,1.75,1.77,1.7,1.75,2602900,MYR
2011-08-17,1.73,1.75,1.71,1.74,1106000,MYR
2011-08-18,1.74,1.8,1.71,1.71,2686700,MYR
2011-08-19,1.68,1.69,1.63,1.64,2509300,MYR
2011-08-22,1.62,1.65,1.58,1.61,3561700,MYR
2011-08-23,1.62,1.63,1.6,1.63,1569900,MYR
2011-08-24,1.64,1.65,1.53,1.54,1899800,MYR
2011-08-25,1.56,1.56,1.47,1.47,2907300,MYR
2011-08-26,1.46,1.49,1.4,1.47,3555300,MYR
2011-08-29,1.48,1.52,1.48,1.49,1359700,MYR
2011-09-02,1.51,1.54,1.51,1.52,2369400,MYR
2011-09-05,1.51,1.51,1.47,1.49,1091600,MYR
2011-09-06,1.46,1.49,1.46,1.49,284200,MYR
2011-09-07,1.5,1.53,1.49,1.5,1085300,MYR
2011-09-08,1.54,1.55,1.51,1.51,1871200,MYR
2011-09-09,1.52,1.56,1.51,1.51,623100,MYR
2011-09-12,1.51,1.51,1.45,1.46,479200,MYR
2011-09-13,1.48,1.48,1.44,1.46,528300,MYR
2011-09-14,1.46,1.46,1.42,1.46,1675000,MYR
2011-09-15,1.46,1.47,1.44,1.47,1847200,MYR
2011-09-19,1.46,1.47,1.41,1.42,431000,MYR
2011-09-20,1.42,1.43,1.41,1.42,463400,MYR
