Date,Open,High,Low,Close,Volume,Currency
2013-11-04,3.12,3.21,3.12,3.17,27005400,MYR
2013-11-06,3.19,3.19,3.14,3.15,9599100,MYR
2013-11-07,3.17,3.17,3.1,3.13,9608400,MYR
2013-11-08,3.12,3.16,3.11,3.12,10326200,MYR
2013-11-11,3.14,3.16,3.12,3.14,9069500,MYR
2013-11-12,3.14,3.36,3.11,3.31,35277700,MYR
2013-11-13,3.3,3.34,3.25,3.26,7187600,MYR
2013-11-14,3.25,3.4,3.25,3.4,16518300,MYR
2013-11-15,3.39,3.53,3.39,3.42,16440000,MYR
2013-11-18,3.45,3.53,3.4,3.44,5685000,MYR
2013-11-19,3.46,3.48,3.45,3.47,7266500,MYR
2013-11-20,3.46,3.49,3.43,3.43,7405600,MYR
2013-11-21,3.43,3.43,3.38,3.39,3993300,MYR
2013-11-22,3.4,3.47,3.4,3.43,3229100,MYR
2013-11-25,3.44,3.46,3.44,3.44,2423300,MYR
2013-11-26,3.44,3.45,3.42,3.43,1224200,MYR
2013-11-27,3.43,3.43,3.41,3.42,5048900,MYR
2013-11-28,3.42,3.42,3.4,3.41,3216700,MYR
2013-11-29,3.41,3.43,3.37,3.4,4372000,MYR
2013-12-02,3.4,3.41,3.38,3.38,2530800,MYR
2013-12-03,3.38,3.38,3.34,3.37,3125800,MYR
2013-12-04,3.37,3.41,3.36,3.38,3538900,MYR
2013-12-05,3.38,3.4,3.37,3.38,1866500,MYR
2013-12-06,3.37,3.4,3.37,3.39,2979600,MYR
2013-12-09,3.39,3.45,3.39,3.42,2864900,MYR
2013-12-10,3.45,3.99,3.44,3.98,33123800,MYR
2013-12-11,3.93,3.98,3.71,3.71,10411400,MYR
2013-12-12,3.72,3.88,3.72,3.78,5830500,MYR
2013-12-13,3.79,3.87,3.79,3.84,6374500,MYR
2013-12-16,3.85,3.88,3.8,3.87,3207200,MYR
2013-12-17,3.87,3.98,3.84,3.9,6831000,MYR
2013-12-18,3.91,4.16,3.9,4.05,13473500,MYR
2013-12-19,4.08,4.18,4.07,4.12,4852500,MYR
2013-12-20,4.12,4.13,4.01,4.03,2640600,MYR
2013-12-23,4.0,4.1,3.97,4.06,2249300,MYR
2013-12-24,4.06,4.06,4.0,4.03,1579200,MYR
2013-12-26,4.03,4.04,4.0,4.01,2138200,MYR
2013-12-27,4.01,4.12,4.01,4.06,2741600,MYR
2013-12-30,4.09,4.13,4.05,4.09,1939300,MYR
2013-12-31,4.09,4.12,4.01,4.01,1699400,MYR
2014-01-02,4.03,4.12,4.02,4.06,6336400,MYR
2014-01-03,4.08,4.09,3.9,3.91,4887900,MYR
2014-01-06,3.91,4.01,3.91,4.0,2954800,MYR
2014-01-07,4.0,4.09,3.98,4.01,4590800,MYR
2014-01-08,4.02,4.06,4.02,4.03,2152600,MYR
2014-01-09,4.03,4.11,4.01,4.09,6493100,MYR
2014-01-10,4.09,4.23,4.09,4.2,8122400,MYR
2014-01-13,4.21,4.26,4.21,4.25,3691500,MYR
2014-01-15,4.25,4.27,4.13,4.16,3048800,MYR
2014-01-16,4.15,4.2,4.14,4.2,3122300,MYR
2014-01-20,4.16,4.19,4.12,4.17,2998900,MYR
