Date,Open,High,Low,Close,Volume,Currency
2013-03-19,0.67,0.67,0.66,0.67,448600,MYR
2013-03-20,0.67,0.67,0.67,0.67,22000,MYR
2013-03-21,0.68,0.68,0.67,0.68,63600,MYR
2013-03-22,0.68,0.68,0.67,0.68,73800,MYR
2013-03-25,0.67,0.67,0.66,0.66,10000,MYR
2013-03-26,0.64,0.66,0.64,0.66,417400,MYR
2013-03-27,0.66,0.66,0.65,0.65,120600,MYR
2013-03-28,0.65,0.65,0.65,0.65,40000,MYR
2013-03-29,0.65,0.65,0.65,0.65,32300,MYR
2013-04-01,0.65,0.65,0.63,0.63,17200,MYR
2013-04-02,0.63,0.63,0.62,0.63,70100,MYR
2013-04-03,0.64,0.64,0.62,0.64,23100,MYR
2013-04-04,0.64,0.65,0.64,0.65,52500,MYR
2013-04-05,0.65,0.66,0.65,0.66,147500,MYR
2013-04-08,0.66,0.66,0.66,0.66,161900,MYR
2013-04-09,0.66,0.66,0.66,0.66,11700,MYR
2013-04-10,0.66,0.66,0.66,0.66,85900,MYR
2013-04-11,0.68,0.68,0.66,0.68,50000,MYR
2013-04-12,0.68,0.68,0.68,0.68,71100,MYR
2013-04-15,0.68,0.69,0.68,0.69,128700,MYR
2013-04-18,0.69,0.69,0.69,0.69,50000,MYR
2013-04-22,0.67,0.67,0.67,0.67,2600,MYR
2013-04-23,0.66,0.66,0.66,0.66,5100,MYR
2013-04-25,0.66,0.67,0.66,0.67,15300,MYR
2013-04-26,0.66,0.66,0.66,0.66,2100,MYR
2013-04-29,0.66,0.66,0.66,0.66,36600,MYR
2013-05-03,0.62,0.62,0.62,0.62,2000,MYR
2013-05-06,0.66,0.66,0.65,0.65,128600,MYR
2013-05-07,0.66,0.68,0.66,0.68,141800,MYR
2013-05-08,0.68,0.68,0.67,0.68,39100,MYR
2013-05-09,0.69,0.69,0.68,0.69,198500,MYR
2013-05-10,0.69,0.71,0.69,0.71,105900,MYR
2013-05-13,0.71,0.74,0.71,0.73,148000,MYR
2013-05-14,0.73,0.82,0.73,0.82,462100,MYR
2013-05-15,0.81,0.85,0.79,0.82,544400,MYR
2013-05-16,0.81,0.81,0.77,0.8,70400,MYR
2013-05-17,0.79,0.81,0.79,0.81,185100,MYR
2013-05-20,0.81,0.83,0.81,0.83,334600,MYR
2013-05-21,0.83,0.85,0.82,0.85,685200,MYR
2013-05-22,0.85,0.86,0.83,0.83,106000,MYR
2013-05-23,0.83,0.83,0.77,0.8,162500,MYR
2013-05-27,0.75,0.75,0.75,0.75,211400,MYR
2013-05-28,0.75,0.76,0.75,0.76,145400,MYR
2013-05-29,0.83,0.83,0.8,0.81,15000,MYR
2013-05-30,0.81,0.81,0.8,0.8,25100,MYR
2013-05-31,0.75,0.81,0.75,0.81,34200,MYR
2013-06-03,0.8,0.8,0.76,0.77,95600,MYR
2013-06-04,0.76,0.76,0.76,0.76,16500,MYR
2013-06-05,0.76,0.77,0.76,0.76,20500,MYR
2013-06-06,0.76,0.76,0.76,0.76,42200,MYR
2013-06-07,0.76,0.76,0.76,0.76,24700,MYR
2013-06-10,0.76,0.77,0.75,0.75,60500,MYR
2013-06-11,0.76,0.76,0.76,0.76,7000,MYR
2013-06-12,0.75,0.75,0.75,0.75,20000,MYR
2013-06-13,0.75,0.75,0.75,0.75,10000,MYR
2013-06-14,0.76,0.76,0.76,0.76,34400,MYR
2013-06-19,0.77,0.77,0.77,0.77,2000,MYR
2013-06-20,0.76,0.76,0.75,0.75,11600,MYR
2013-06-21,0.76,0.77,0.75,0.77,55700,MYR
2013-06-24,0.74,0.76,0.74,0.76,14100,MYR
2013-06-25,0.74,0.76,0.74,0.76,22000,MYR
2013-06-26,0.75,0.76,0.75,0.75,33100,MYR
2013-06-27,0.75,0.76,0.75,0.76,39000,MYR
2013-07-01,0.76,0.79,0.76,0.77,39600,MYR
2013-07-02,0.77,0.77,0.77,0.77,18000,MYR
2013-07-04,0.76,0.77,0.76,0.76,26000,MYR
2013-07-05,0.76,0.76,0.76,0.76,5000,MYR
2013-07-08,0.76,0.76,0.76,0.76,20000,MYR
2013-07-09,0.77,0.77,0.76,0.77,42000,MYR
2013-07-10,0.77,0.78,0.76,0.76,59000,MYR
2013-07-11,0.76,0.76,0.76,0.76,15000,MYR
2013-07-12,0.75,0.76,0.75,0.76,14500,MYR
2013-07-15,0.75,0.76,0.75,0.76,15000,MYR
2013-07-17,0.75,0.76,0.75,0.75,58500,MYR
2013-07-18,0.76,0.76,0.76,0.76,10000,MYR
2013-07-22,0.76,0.77,0.76,0.77,113100,MYR
2013-07-23,0.77,0.77,0.77,0.77,104000,MYR
2013-07-24,0.79,0.79,0.78,0.79,30300,MYR
2013-07-25,0.79,0.79,0.79,0.79,67000,MYR
2013-07-26,0.79,0.79,0.79,0.79,90000,MYR
2013-07-29,0.79,0.79,0.79,0.79,35500,MYR
2013-07-30,0.79,0.8,0.79,0.79,36800,MYR
2013-07-31,0.79,0.79,0.79,0.79,55200,MYR
2013-08-01,0.79,0.87,0.79,0.87,181100,MYR
2013-08-02,0.81,0.81,0.8,0.8,34400,MYR
2013-08-05,0.81,0.81,0.81,0.81,39800,MYR
2013-08-06,0.81,0.81,0.81,0.81,7000,MYR
2013-08-07,0.81,0.81,0.81,0.81,17700,MYR
2013-08-12,0.81,0.81,0.81,0.81,51000,MYR
2013-08-13,0.82,0.85,0.82,0.85,38000,MYR
2013-08-14,0.84,0.85,0.84,0.85,38100,MYR
2013-08-15,0.85,0.85,0.85,0.85,135700,MYR
2013-08-16,0.83,0.83,0.83,0.83,42500,MYR
2013-08-19,0.82,0.82,0.82,0.82,10000,MYR
2013-08-20,0.81,0.81,0.81,0.81,92300,MYR
2013-08-21,0.81,0.81,0.8,0.8,34200,MYR
2013-08-22,0.8,0.8,0.8,0.8,47300,MYR
2013-08-23,0.79,0.79,0.76,0.76,59100,MYR
2013-08-26,0.77,0.77,0.75,0.77,62300,MYR
2013-08-27,0.75,0.77,0.75,0.77,67000,MYR
2013-08-28,0.76,0.77,0.75,0.77,74500,MYR
2013-08-29,0.77,0.77,0.77,0.77,6000,MYR
2013-08-30,0.77,0.77,0.76,0.76,4100,MYR
2013-09-02,0.76,0.76,0.75,0.75,20000,MYR
2013-09-03,0.73,0.74,0.73,0.74,16000,MYR
2013-09-04,0.75,0.76,0.74,0.76,91000,MYR
2013-09-05,0.75,0.75,0.75,0.75,15000,MYR
2013-09-09,0.75,0.75,0.75,0.75,3000,MYR
2013-09-10,0.75,0.75,0.75,0.75,6400,MYR
2013-09-11,0.75,0.75,0.7,0.75,336400,MYR
2013-09-12,0.74,0.75,0.74,0.75,199800,MYR
2013-09-17,0.75,0.75,0.75,0.75,20000,MYR
2013-09-18,0.75,0.75,0.75,0.75,10100,MYR
2013-09-19,0.75,0.77,0.75,0.76,32200,MYR
2013-09-20,0.76,0.76,0.76,0.76,45000,MYR
2013-09-23,0.75,0.79,0.75,0.79,58300,MYR
2013-09-24,0.79,0.8,0.79,0.8,93200,MYR
2013-09-25,0.8,0.82,0.79,0.79,42500,MYR
2013-09-27,0.77,0.77,0.77,0.77,22000,MYR
2013-10-01,0.76,0.81,0.76,0.81,131500,MYR
2013-10-02,0.81,0.82,0.81,0.82,148500,MYR
2013-10-03,0.83,0.83,0.81,0.81,33000,MYR
2013-10-04,0.81,0.81,0.8,0.81,55000,MYR
2013-10-07,0.81,0.81,0.81,0.81,11000,MYR
2013-10-08,0.8,0.8,0.8,0.8,50000,MYR
2013-10-09,0.8,0.8,0.8,0.8,18500,MYR
2013-10-10,0.82,0.84,0.82,0.84,286800,MYR
2013-10-11,0.84,0.86,0.84,0.84,83000,MYR
2013-10-14,0.84,0.86,0.84,0.84,51500,MYR
2013-10-16,0.84,0.84,0.84,0.84,28000,MYR
2013-10-17,0.84,0.84,0.84,0.84,5000,MYR
2013-10-18,0.83,0.83,0.83,0.83,10000,MYR
2013-10-21,0.83,0.83,0.82,0.82,25000,MYR
2013-10-23,0.83,0.84,0.83,0.83,89000,MYR
2013-10-24,0.84,0.84,0.84,0.84,20000,MYR
2013-10-25,0.85,0.85,0.85,0.85,15000,MYR
2013-10-28,0.85,0.93,0.85,0.91,713500,MYR
2013-10-29,0.91,0.95,0.91,0.95,1101500,MYR
2013-10-30,0.95,1.04,0.95,0.99,1827400,MYR
2013-10-31,0.99,0.99,0.95,0.95,460700,MYR
2013-11-01,0.96,0.98,0.96,0.98,336800,MYR
2013-11-04,0.98,0.98,0.95,0.95,255000,MYR
2013-11-06,0.94,0.95,0.93,0.93,204900,MYR
2013-11-07,0.93,0.94,0.93,0.94,34000,MYR
2013-11-08,0.94,0.94,0.93,0.93,61800,MYR
2013-11-11,0.93,0.98,0.93,0.98,441200,MYR
2013-11-12,0.98,1.03,0.96,0.96,299800,MYR
2013-11-13,0.98,0.98,0.96,0.96,138000,MYR
2013-11-14,0.98,0.99,0.98,0.99,385500,MYR
2013-11-15,0.99,1.02,0.99,1.01,273000,MYR
2013-11-18,1.01,1.02,0.99,0.99,218500,MYR
2013-11-19,0.99,0.99,0.97,0.97,78500,MYR
2013-11-20,0.97,0.98,0.93,0.94,163000,MYR
2013-11-21,0.94,0.97,0.94,0.97,169000,MYR
2013-11-22,1.05,1.07,1.03,1.07,1554300,MYR
2013-11-25,1.11,1.17,1.11,1.17,1743200,MYR
2013-11-26,1.18,1.18,1.12,1.13,402600,MYR
2013-11-27,1.13,1.15,1.12,1.13,276600,MYR
2013-11-28,1.13,1.13,1.09,1.09,148100,MYR
2013-11-29,1.09,1.16,1.09,1.16,478900,MYR
2013-12-02,1.16,1.18,1.1,1.18,468200,MYR
2013-12-03,1.19,1.23,1.18,1.2,527900,MYR
