Date,Open,High,Low,Close,Volume,Currency
2014-02-27,0.194,0.197,0.19,0.19,3247800,MYR
2014-02-28,0.19,0.19,0.18,0.183,10682800,MYR
2014-03-03,0.18,0.18,0.173,0.177,11610600,MYR
2014-03-04,0.177,0.183,0.177,0.18,4787900,MYR
2014-03-05,0.18,0.18,0.177,0.18,1757900,MYR
2014-03-06,0.18,0.18,0.177,0.177,2818100,MYR
2014-03-07,0.177,0.19,0.177,0.187,11177600,MYR
2014-03-10,0.183,0.187,0.18,0.187,6855400,MYR
2014-03-11,0.183,0.19,0.177,0.18,12914700,MYR
2014-03-12,0.18,0.18,0.177,0.18,985500,MYR
2014-03-13,0.18,0.183,0.177,0.18,8578200,MYR
2014-03-14,0.177,0.18,0.177,0.177,6636300,MYR
2014-03-17,0.177,0.177,0.173,0.173,2788600,MYR
2014-03-18,0.177,0.18,0.173,0.18,2970600,MYR
2014-03-19,0.177,0.18,0.177,0.177,2850000,MYR
2014-03-20,0.177,0.18,0.173,0.173,4658500,MYR
2014-03-21,0.177,0.177,0.173,0.177,2591000,MYR
2014-03-24,0.177,0.177,0.173,0.177,2562600,MYR
2014-03-25,0.177,0.177,0.173,0.173,7223500,MYR
2014-03-26,0.173,0.177,0.17,0.173,4212800,MYR
2014-03-27,0.173,0.173,0.173,0.173,2176400,MYR
2014-03-28,0.177,0.177,0.17,0.173,2537900,MYR
2014-03-31,0.173,0.173,0.166,0.166,10407400,MYR
2014-04-01,0.166,0.166,0.156,0.159,15268600,MYR
2014-04-02,0.159,0.159,0.156,0.156,3720100,MYR
2014-04-03,0.156,0.166,0.156,0.163,9280500,MYR
2014-04-04,0.163,0.163,0.159,0.163,3269800,MYR
2014-04-07,0.163,0.163,0.156,0.163,4596900,MYR
2014-04-08,0.163,0.173,0.159,0.17,16746700,MYR
2014-04-09,0.17,0.17,0.163,0.163,2568400,MYR
2014-04-10,0.163,0.166,0.163,0.166,2778500,MYR
2014-04-11,0.163,0.166,0.159,0.163,5375800,MYR
2014-04-14,0.163,0.17,0.159,0.17,6466400,MYR
2014-04-15,0.17,0.17,0.163,0.166,1621800,MYR
2014-04-16,0.163,0.166,0.159,0.166,3729800,MYR
2014-04-17,0.163,0.163,0.159,0.163,1726500,MYR
2014-04-18,0.163,0.163,0.159,0.163,1996500,MYR
2014-04-21,0.163,0.163,0.159,0.163,2682100,MYR
2014-04-22,0.159,0.166,0.159,0.159,4085800,MYR
2014-04-23,0.163,0.166,0.159,0.166,3295300,MYR
2014-04-24,0.166,0.166,0.159,0.163,1383900,MYR
2014-04-25,0.163,0.163,0.159,0.159,2686200,MYR
2014-04-28,0.163,0.163,0.156,0.159,9528600,MYR
2014-04-29,0.159,0.159,0.152,0.152,5932600,MYR
2014-04-30,0.152,0.163,0.152,0.159,6512600,MYR
2014-05-02,0.156,0.163,0.156,0.159,3023300,MYR
2014-05-05,0.156,0.156,0.149,0.152,7207200,MYR
2014-05-06,0.149,0.152,0.149,0.152,2553900,MYR
2014-05-07,0.149,0.152,0.149,0.149,2107500,MYR
2014-05-08,0.152,0.156,0.149,0.152,3536400,MYR
2014-05-09,0.152,0.156,0.152,0.152,1637300,MYR
2014-05-12,0.152,0.159,0.152,0.156,4489400,MYR
2014-05-14,0.156,0.159,0.152,0.156,3402200,MYR
2014-05-15,0.156,0.156,0.152,0.156,1827000,MYR
2014-05-16,0.156,0.156,0.152,0.152,2827700,MYR
2014-05-19,0.152,0.156,0.152,0.156,953300,MYR
2014-05-20,0.152,0.156,0.152,0.152,467400,MYR
2014-05-21,0.156,0.156,0.152,0.152,4931600,MYR
2014-05-22,0.152,0.152,0.149,0.152,1434500,MYR
2014-05-23,0.152,0.152,0.149,0.149,1746500,MYR
2014-05-26,0.149,0.149,0.145,0.149,3016000,MYR
2014-05-27,0.149,0.152,0.145,0.149,1209600,MYR
2014-05-28,0.149,0.152,0.149,0.152,930100,MYR
2014-05-29,0.149,0.152,0.149,0.152,1792300,MYR
2014-05-30,0.152,0.152,0.149,0.149,890000,MYR
2014-06-02,0.152,0.152,0.149,0.149,2252300,MYR
2014-06-03,0.149,0.149,0.145,0.149,797000,MYR
2014-06-04,0.149,0.149,0.145,0.149,644800,MYR
