Date,Open,High,Low,Close,Volume,Currency
2013-10-07,2.95,2.95,2.83,2.83,2300,MYR
2013-10-08,2.8,2.8,2.8,2.8,200,MYR
2013-10-10,2.73,2.73,2.73,2.73,100,MYR
2013-10-14,2.8,2.89,2.8,2.89,3800,MYR
2013-10-16,2.8,2.8,2.8,2.8,200,MYR
2013-10-17,2.78,2.78,2.78,2.78,200,MYR
2013-10-18,2.86,2.95,2.86,2.9,35000,MYR
2013-10-22,2.83,2.83,2.83,2.83,100,MYR
2013-10-24,2.78,2.78,2.78,2.78,200,MYR
2013-10-31,2.78,2.78,2.77,2.77,3100,MYR
2013-11-04,2.78,2.78,2.78,2.78,100,MYR
2013-11-06,2.85,2.95,2.85,2.9,136600,MYR
2013-11-07,2.9,2.9,2.8,2.8,700,MYR
2013-11-08,2.81,2.81,2.81,2.81,300,MYR
2013-11-11,2.85,2.9,2.85,2.89,40000,MYR
2013-11-13,2.81,2.81,2.81,2.81,200,MYR
2013-11-19,2.81,2.81,2.81,2.81,200,MYR
2013-11-20,2.82,2.93,2.82,2.9,88600,MYR
2013-11-21,2.9,2.9,2.9,2.9,500,MYR
2013-11-22,2.92,2.95,2.9,2.9,20700,MYR
2013-11-26,2.9,2.9,2.9,2.9,5500,MYR
2013-11-27,2.83,2.83,2.83,2.83,100,MYR
2013-11-28,2.9,2.92,2.9,2.92,21200,MYR
2013-11-29,2.9,2.9,2.9,2.9,5500,MYR
2013-12-02,2.9,2.9,2.9,2.9,5000,MYR
2013-12-03,2.87,2.9,2.87,2.9,1000,MYR
2013-12-06,2.9,2.9,2.9,2.9,1100,MYR
2013-12-09,2.82,2.82,2.82,2.82,300,MYR
2013-12-10,2.82,2.85,2.82,2.85,1500,MYR
2013-12-11,2.82,2.82,2.82,2.82,500,MYR
2013-12-12,2.82,2.82,2.82,2.82,700,MYR
2013-12-16,2.82,2.82,2.82,2.82,3900,MYR
2013-12-17,2.88,2.94,2.88,2.94,700,MYR
2013-12-20,2.82,2.95,2.82,2.95,22600,MYR
2013-12-24,2.94,2.95,2.9,2.94,13200,MYR
2013-12-26,2.84,2.84,2.84,2.84,400,MYR
2013-12-27,2.96,2.96,2.96,2.96,1000,MYR
2014-01-02,2.96,2.97,2.96,2.97,10000,MYR
