Date,Open,High,Low,Close,Volume,Currency
2013-03-07,0.21,0.215,0.21,0.215,40200,MYR
2013-03-08,0.215,0.215,0.21,0.21,56600,MYR
2013-03-11,0.215,0.215,0.215,0.215,10000,MYR
2013-03-12,0.21,0.25,0.21,0.25,62500,MYR
2013-03-13,0.21,0.21,0.21,0.21,4900,MYR
2013-03-15,0.215,0.22,0.215,0.22,55000,MYR
2013-03-19,0.215,0.225,0.215,0.225,93500,MYR
2013-03-20,0.23,0.235,0.225,0.235,35800,MYR
2013-03-21,0.225,0.225,0.225,0.225,21000,MYR
2013-03-22,0.225,0.225,0.225,0.225,11000,MYR
2013-03-27,0.215,0.215,0.215,0.215,6000,MYR
2013-03-28,0.225,0.225,0.225,0.225,6000,MYR
2013-03-29,0.215,0.225,0.215,0.22,128100,MYR
2013-04-04,0.22,0.22,0.22,0.22,15600,MYR
2013-04-05,0.22,0.22,0.22,0.22,15000,MYR
2013-04-12,0.23,0.23,0.23,0.23,14000,MYR
2013-04-17,0.22,0.22,0.22,0.22,6000,MYR
2013-04-19,0.22,0.22,0.22,0.22,4000,MYR
2013-04-22,0.25,0.25,0.25,0.25,100000,MYR
2013-04-23,0.22,0.22,0.22,0.22,3600,MYR
2013-04-24,0.22,0.22,0.22,0.22,20000,MYR
2013-04-25,0.21,0.21,0.21,0.21,10000,MYR
2013-04-26,0.23,0.245,0.215,0.245,14500,MYR
2013-05-02,0.235,0.24,0.23,0.23,193200,MYR
2013-05-07,0.215,0.215,0.215,0.215,10000,MYR
2013-05-13,0.235,0.245,0.235,0.24,199500,MYR
2013-05-14,0.245,0.26,0.245,0.26,163000,MYR
2013-05-15,0.27,0.27,0.27,0.27,10000,MYR
2013-05-17,0.24,0.25,0.24,0.25,17500,MYR
2013-05-20,0.265,0.265,0.265,0.265,19000,MYR
2013-05-21,0.28,0.28,0.275,0.275,63000,MYR
2013-05-22,0.3,0.34,0.3,0.315,482300,MYR
2013-05-23,0.315,0.315,0.31,0.315,172400,MYR
2013-05-27,0.315,0.315,0.31,0.31,72900,MYR
2013-05-28,0.31,0.32,0.31,0.32,99000,MYR
2013-05-29,0.32,0.36,0.32,0.355,520200,MYR
2013-05-31,0.335,0.36,0.335,0.36,167700,MYR
2013-06-03,0.35,0.355,0.35,0.35,144800,MYR
2013-06-04,0.35,0.36,0.35,0.36,55000,MYR
2013-06-05,0.35,0.36,0.35,0.35,120700,MYR
2013-06-06,0.35,0.35,0.345,0.345,95000,MYR
2013-06-10,0.35,0.355,0.35,0.355,45000,MYR
2013-06-11,0.35,0.37,0.35,0.35,26000,MYR
2013-06-12,0.35,0.35,0.35,0.35,52000,MYR
2013-06-13,0.36,0.36,0.35,0.355,84000,MYR
2013-06-17,0.355,0.355,0.355,0.355,84300,MYR
2013-06-19,0.35,0.35,0.35,0.35,25000,MYR
2013-06-20,0.345,0.355,0.345,0.355,25200,MYR
2013-06-21,0.33,0.355,0.33,0.355,23000,MYR
2013-06-24,0.33,0.33,0.33,0.33,67000,MYR
2013-06-26,0.35,0.355,0.35,0.355,110700,MYR
2013-07-01,0.35,0.35,0.35,0.35,5000,MYR
2013-07-03,0.35,0.355,0.35,0.35,82500,MYR
2013-07-04,0.35,0.35,0.35,0.35,10000,MYR
2013-07-05,0.355,0.36,0.355,0.36,32300,MYR
2013-07-08,0.36,0.365,0.355,0.365,39000,MYR
2013-07-09,0.365,0.38,0.365,0.38,75000,MYR
2013-07-10,0.38,0.38,0.375,0.375,35100,MYR
2013-07-11,0.38,0.39,0.375,0.39,139200,MYR
2013-07-12,0.395,0.395,0.35,0.37,150500,MYR
2013-07-15,0.37,0.38,0.37,0.38,45200,MYR
2013-07-16,0.38,0.38,0.375,0.375,12800,MYR
2013-07-17,0.39,0.39,0.39,0.39,30000,MYR
2013-07-19,0.4,0.4,0.38,0.38,26500,MYR
2013-07-22,0.38,0.4,0.38,0.38,30000,MYR
2013-07-23,0.385,0.385,0.38,0.385,78800,MYR
2013-07-24,0.39,0.395,0.38,0.39,151600,MYR
2013-07-25,0.375,0.375,0.375,0.375,35400,MYR
2013-07-31,0.35,0.35,0.35,0.35,600,MYR
2013-08-01,0.33,0.34,0.33,0.34,15100,MYR
2013-08-06,0.325,0.34,0.325,0.34,10400,MYR
2013-08-13,0.33,0.34,0.33,0.34,5400,MYR
2013-08-15,0.34,0.34,0.335,0.335,28000,MYR
2013-08-16,0.34,0.34,0.34,0.34,5000,MYR
2013-08-20,0.33,0.33,0.33,0.33,100000,MYR
2013-08-21,0.33,0.34,0.33,0.34,45000,MYR
2013-08-22,0.325,0.325,0.325,0.325,25000,MYR
2013-08-23,0.34,0.34,0.34,0.34,34700,MYR
2013-08-28,0.34,0.34,0.335,0.335,15000,MYR
2013-08-29,0.34,0.35,0.325,0.35,43300,MYR
2013-08-30,0.335,0.35,0.335,0.335,8100,MYR
2013-09-11,0.34,0.34,0.34,0.34,10000,MYR
2013-09-13,0.31,0.31,0.31,0.31,3600,MYR
2013-09-18,0.34,0.34,0.31,0.31,1000,MYR
2013-09-24,0.31,0.31,0.31,0.31,10000,MYR
2013-09-25,0.315,0.315,0.31,0.31,18600,MYR
2013-09-27,0.315,0.32,0.315,0.32,49500,MYR
2013-10-11,0.32,0.32,0.32,0.32,2000,MYR
2013-10-14,0.38,0.38,0.38,0.38,100,MYR
2013-11-13,0.315,0.32,0.315,0.32,30000,MYR
2013-11-14,0.34,0.34,0.34,0.34,30000,MYR
2013-11-15,0.345,0.345,0.345,0.345,25000,MYR
2013-11-18,0.325,0.325,0.325,0.325,12800,MYR
2013-11-19,0.31,0.31,0.31,0.31,16000,MYR
2013-11-22,0.32,0.32,0.32,0.32,20000,MYR
2013-11-27,0.35,0.36,0.35,0.36,13000,MYR
2013-12-04,0.32,0.32,0.32,0.32,10000,MYR
2013-12-11,0.32,0.32,0.32,0.32,8600,MYR
2013-12-17,0.32,0.35,0.32,0.35,14800,MYR
2013-12-18,0.315,0.315,0.315,0.315,1700,MYR
2013-12-19,0.315,0.325,0.315,0.325,15000,MYR
2013-12-20,0.32,0.32,0.32,0.32,9200,MYR
2014-01-08,0.33,0.37,0.33,0.34,55000,MYR
2014-01-09,0.37,0.38,0.355,0.355,55300,MYR
2014-01-10,0.345,0.345,0.345,0.345,10000,MYR
2014-01-15,0.345,0.345,0.34,0.34,20900,MYR
2014-01-16,0.34,0.34,0.34,0.34,11000,MYR
2014-01-20,0.34,0.38,0.34,0.37,25500,MYR
2014-01-21,0.355,0.355,0.355,0.355,10000,MYR
2014-01-22,0.345,0.355,0.345,0.355,6000,MYR
2014-01-24,0.355,0.37,0.355,0.36,15500,MYR
2014-02-05,0.36,0.36,0.36,0.36,16000,MYR
2014-02-10,0.35,0.38,0.35,0.38,2000,MYR
2014-02-12,0.345,0.345,0.345,0.345,3000,MYR
2014-02-14,0.385,0.385,0.38,0.38,1100,MYR
2014-02-21,0.34,0.37,0.335,0.37,20100,MYR
2014-02-25,0.36,0.36,0.36,0.36,20000,MYR
2014-03-05,0.28,0.325,0.28,0.325,12000,MYR
2014-03-06,0.315,0.315,0.315,0.315,10000,MYR
2014-03-20,0.33,0.36,0.33,0.345,26500,MYR
2014-03-24,0.355,0.38,0.355,0.37,171900,MYR
2014-03-26,0.38,0.38,0.36,0.36,17600,MYR
2014-03-27,0.36,0.365,0.36,0.36,50000,MYR
2014-03-28,0.36,0.385,0.36,0.375,51300,MYR
2014-04-03,0.36,0.385,0.355,0.385,13400,MYR
2014-04-04,0.37,0.37,0.37,0.37,20000,MYR
2014-04-07,0.37,0.37,0.37,0.37,10000,MYR
2014-04-09,0.37,0.37,0.37,0.37,12200,MYR
2014-04-10,0.365,0.395,0.365,0.38,41000,MYR
2014-04-11,0.365,0.365,0.365,0.365,3000,MYR
2014-04-14,0.365,0.365,0.365,0.365,2000,MYR
2014-04-15,0.37,0.37,0.37,0.37,10000,MYR
2014-04-16,0.375,0.38,0.375,0.38,55400,MYR
2014-04-17,0.38,0.395,0.375,0.395,23700,MYR
2014-04-18,0.39,0.39,0.39,0.39,50000,MYR
2014-04-21,0.375,0.38,0.375,0.38,14000,MYR
2014-04-22,0.385,0.385,0.38,0.38,25400,MYR
2014-04-23,0.395,0.4,0.385,0.4,51200,MYR
2014-04-29,0.395,0.445,0.395,0.43,67000,MYR
2014-04-30,0.415,0.435,0.41,0.43,96200,MYR
2014-05-05,0.405,0.44,0.4,0.44,11500,MYR
2014-05-06,0.385,0.385,0.385,0.385,18000,MYR
2014-05-07,0.43,0.43,0.43,0.43,100,MYR
2014-05-12,0.39,0.39,0.39,0.39,10000,MYR
2014-05-19,0.36,0.435,0.36,0.435,33900,MYR
2014-05-20,0.38,0.4,0.38,0.38,10200,MYR
2014-05-21,0.39,0.42,0.38,0.42,125600,MYR
2014-05-22,0.395,0.42,0.395,0.42,10100,MYR
2014-05-23,0.385,0.385,0.38,0.38,105000,MYR
2014-05-26,0.37,0.375,0.37,0.37,8000,MYR
2014-05-27,0.39,0.39,0.375,0.375,23400,MYR
2014-05-29,0.37,0.38,0.37,0.38,20100,MYR
2014-06-02,0.365,0.365,0.365,0.365,19000,MYR
2014-06-03,0.365,0.38,0.365,0.38,74500,MYR
2014-06-06,0.365,0.395,0.365,0.395,43600,MYR
2014-06-12,0.365,0.375,0.365,0.37,31100,MYR
2014-06-17,0.37,0.37,0.37,0.37,9900,MYR
2014-06-19,0.38,0.395,0.375,0.395,73100,MYR
2014-06-20,0.385,0.395,0.38,0.38,33800,MYR
2014-06-23,0.385,0.385,0.38,0.38,36000,MYR
2014-06-24,0.38,0.38,0.38,0.38,3600,MYR
2014-06-25,0.37,0.37,0.37,0.37,10000,MYR
2014-06-27,0.38,0.38,0.375,0.375,12100,MYR
