Date,Open,High,Low,Close,Volume,Currency
2018-03-07,0.287,0.291,0.282,0.282,3319300,MYR
2018-03-08,0.282,0.291,0.277,0.282,1580500,MYR
2018-03-09,0.277,0.282,0.267,0.282,3302700,MYR
2018-03-12,0.277,0.282,0.267,0.277,5051800,MYR
2018-03-13,0.272,0.282,0.272,0.277,3063300,MYR
2018-03-14,0.272,0.277,0.272,0.272,685000,MYR
2018-03-15,0.272,0.272,0.262,0.262,2333900,MYR
2018-03-16,0.267,0.272,0.262,0.267,1958200,MYR
2018-03-19,0.267,0.267,0.253,0.262,2352400,MYR
2018-03-20,0.257,0.267,0.257,0.262,1719000,MYR
2018-03-21,0.257,0.257,0.253,0.257,1419200,MYR
2018-03-22,0.253,0.253,0.253,0.253,223000,MYR
2018-03-23,0.253,0.253,0.248,0.253,272000,MYR
2018-03-26,0.248,0.248,0.248,0.248,914600,MYR
2018-03-27,0.253,0.253,0.238,0.248,838500,MYR
2018-03-28,0.243,0.243,0.233,0.233,1910000,MYR
2018-03-29,0.238,0.248,0.238,0.243,289000,MYR
2018-03-30,0.233,0.238,0.233,0.233,404000,MYR
2018-04-02,0.238,0.243,0.238,0.243,298000,MYR
2018-04-03,0.238,0.238,0.233,0.233,452500,MYR
2018-04-04,0.238,0.238,0.223,0.233,1021000,MYR
2018-04-05,0.228,0.233,0.223,0.233,160000,MYR
2018-04-06,0.194,0.228,0.194,0.223,221100,MYR
2018-04-09,0.223,0.238,0.223,0.228,555000,MYR
2018-04-10,0.228,0.238,0.228,0.238,220700,MYR
2018-04-11,0.248,0.248,0.248,0.248,11100,MYR
2018-04-12,0.214,0.243,0.214,0.243,218700,MYR
2018-04-13,0.238,0.243,0.238,0.243,1187900,MYR
2018-04-16,0.253,0.257,0.253,0.253,241800,MYR
2018-04-20,0.243,0.243,0.243,0.243,20000,MYR
2018-04-23,0.253,0.262,0.253,0.253,302500,MYR
2018-04-24,0.253,0.253,0.253,0.253,3000,MYR
2018-04-25,0.243,0.257,0.243,0.253,584000,MYR
2018-04-27,0.243,0.243,0.238,0.238,37000,MYR
2018-04-30,0.233,0.233,0.233,0.233,1000,MYR
2018-05-02,0.233,0.238,0.233,0.238,591000,MYR
2018-05-03,0.243,0.243,0.238,0.243,33300,MYR
2018-05-04,0.243,0.243,0.243,0.243,10000,MYR
2018-05-07,0.233,0.233,0.233,0.233,1000,MYR
2018-05-08,0.238,0.243,0.238,0.243,267000,MYR
2018-05-14,0.233,0.257,0.223,0.238,309100,MYR
2018-05-16,0.243,0.243,0.238,0.238,11000,MYR
2018-05-17,0.253,0.253,0.243,0.248,355000,MYR
2018-05-21,0.253,0.253,0.253,0.253,50000,MYR
2018-05-23,0.248,0.248,0.228,0.243,313000,MYR
2018-05-24,0.228,0.228,0.228,0.228,7000,MYR
2018-05-25,0.243,0.243,0.243,0.243,40000,MYR
2018-05-30,0.223,0.223,0.223,0.223,40000,MYR
2018-05-31,0.223,0.228,0.223,0.228,110000,MYR
2018-06-01,0.223,0.228,0.223,0.223,306600,MYR
2018-06-04,0.223,0.223,0.223,0.223,9000,MYR
2018-06-05,0.233,0.233,0.233,0.233,2000,MYR
2018-06-06,0.233,0.243,0.223,0.243,98000,MYR
2018-06-11,0.228,0.238,0.228,0.238,100000,MYR
2018-06-12,0.233,0.238,0.233,0.238,12000,MYR
2018-06-13,0.228,0.233,0.223,0.233,86000,MYR
2018-06-14,0.223,0.223,0.223,0.223,321400,MYR
2018-06-20,0.243,0.243,0.228,0.228,12100,MYR
2018-06-21,0.228,0.238,0.214,0.238,304700,MYR
2018-06-25,0.233,0.233,0.214,0.214,34000,MYR
2018-06-26,0.228,0.238,0.219,0.238,12800,MYR
2018-06-27,0.219,0.219,0.219,0.219,54700,MYR
2018-06-28,0.228,0.238,0.228,0.238,21500,MYR
2018-07-02,0.219,0.223,0.219,0.223,64000,MYR
2018-07-03,0.219,0.233,0.219,0.233,57200,MYR
2018-07-04,0.228,0.243,0.228,0.228,50000,MYR
2018-07-06,0.228,0.238,0.219,0.238,321000,MYR
2018-07-09,0.233,0.233,0.228,0.228,100000,MYR
2018-07-10,0.228,0.228,0.228,0.228,5000,MYR
2018-07-11,0.233,0.233,0.228,0.228,70000,MYR
2018-07-12,0.238,0.238,0.238,0.238,2000,MYR
2018-07-13,0.243,0.243,0.219,0.228,142000,MYR
2018-07-16,0.238,0.238,0.238,0.238,1000,MYR
2018-07-17,0.228,0.238,0.223,0.238,62000,MYR
2018-07-18,0.233,0.238,0.228,0.228,175000,MYR
2018-07-19,0.233,0.233,0.228,0.228,32100,MYR
2018-07-20,0.233,0.238,0.228,0.233,262800,MYR
2018-07-23,0.238,0.267,0.238,0.267,950000,MYR
2018-07-24,0.262,0.272,0.257,0.272,750300,MYR
2018-07-25,0.272,0.282,0.262,0.282,1749600,MYR
2018-07-26,0.272,0.272,0.272,0.272,61500,MYR
2018-07-27,0.272,0.272,0.272,0.272,250000,MYR
2018-07-30,0.272,0.277,0.272,0.277,498000,MYR
2018-07-31,0.282,0.282,0.277,0.277,203100,MYR
2018-08-01,0.277,0.311,0.277,0.306,4007000,MYR
2018-08-02,0.306,0.33,0.296,0.316,6957800,MYR
2018-08-03,0.321,0.325,0.301,0.306,2190200,MYR
2018-08-06,0.306,0.311,0.306,0.311,173000,MYR
2018-08-07,0.311,0.316,0.306,0.316,2846400,MYR
2018-08-08,0.316,0.321,0.311,0.316,2122600,MYR
2018-08-09,0.316,0.321,0.316,0.316,1445000,MYR
2018-08-10,0.311,0.34,0.311,0.335,11008500,MYR
2018-08-13,0.335,0.345,0.33,0.335,4884500,MYR
2018-08-14,0.34,0.345,0.335,0.34,2724700,MYR
2018-08-15,0.35,0.364,0.345,0.35,8859000,MYR
2018-08-16,0.35,0.359,0.335,0.34,7753000,MYR
2018-08-17,0.345,0.345,0.316,0.321,4475700,MYR
2018-08-20,0.321,0.325,0.316,0.325,1717700,MYR
2018-08-21,0.33,0.335,0.316,0.321,3254800,MYR
2018-08-23,0.321,0.325,0.316,0.316,1582300,MYR
2018-08-24,0.316,0.364,0.316,0.355,17383800,MYR
2018-08-27,0.369,0.374,0.345,0.359,10317300,MYR
2018-08-28,0.359,0.374,0.355,0.364,6770300,MYR
2018-08-29,0.364,0.369,0.364,0.364,2701700,MYR
2018-08-30,0.364,0.374,0.345,0.35,8150400,MYR
2018-09-03,0.35,0.35,0.33,0.335,3170800,MYR
2018-09-04,0.34,0.345,0.335,0.335,3306700,MYR
2018-09-05,0.34,0.35,0.33,0.33,6123700,MYR
2018-09-06,0.33,0.34,0.33,0.34,1795900,MYR
2018-09-07,0.34,0.34,0.33,0.335,1182000,MYR
2018-09-12,0.335,0.335,0.316,0.325,3207600,MYR
2018-09-13,0.321,0.33,0.321,0.321,3717000,MYR
2018-09-14,0.321,0.34,0.321,0.335,4347100,MYR
2018-09-18,0.325,0.33,0.321,0.325,1224100,MYR
2018-09-19,0.325,0.33,0.325,0.325,751000,MYR
2018-09-20,0.325,0.364,0.325,0.359,9606600,MYR
2018-09-21,0.364,0.364,0.34,0.355,4819400,MYR
2018-09-24,0.355,0.355,0.34,0.355,702500,MYR
2018-09-25,0.35,0.359,0.345,0.35,2986500,MYR
2018-09-26,0.355,0.384,0.355,0.379,24110700,MYR
2018-09-27,0.379,0.393,0.374,0.379,17311200,MYR
2018-09-28,0.379,0.379,0.364,0.369,2469700,MYR
2018-10-01,0.374,0.389,0.369,0.374,5603100,MYR
2018-10-02,0.379,0.384,0.359,0.364,5603300,MYR
2018-10-03,0.369,0.374,0.355,0.355,4674700,MYR
2018-10-04,0.355,0.369,0.355,0.359,2833600,MYR
2018-10-05,0.359,0.359,0.35,0.359,2256300,MYR
2018-10-08,0.359,0.359,0.345,0.345,3295500,MYR
2018-10-09,0.345,0.35,0.34,0.34,1945500,MYR
2018-10-10,0.34,0.34,0.316,0.321,5382500,MYR
2018-10-11,0.301,0.321,0.291,0.311,4120700,MYR
2018-10-12,0.306,0.33,0.306,0.33,3880800,MYR
2018-10-15,0.34,0.345,0.325,0.325,3875100,MYR
2018-10-16,0.33,0.374,0.33,0.374,16624300,MYR
2018-10-17,0.384,0.384,0.359,0.359,14731100,MYR
2018-10-18,0.364,0.364,0.35,0.355,1473700,MYR
2018-10-19,0.355,0.364,0.345,0.345,4245800,MYR
2018-10-22,0.345,0.359,0.345,0.345,3393500,MYR
2018-10-23,0.345,0.359,0.33,0.33,7004300,MYR
2018-10-24,0.33,0.34,0.321,0.325,2432300,MYR
2018-10-25,0.311,0.33,0.306,0.325,3357200,MYR
2018-10-26,0.33,0.335,0.311,0.321,1715200,MYR
2018-10-29,0.311,0.321,0.306,0.306,2720400,MYR
2018-10-30,0.306,0.321,0.306,0.311,1688400,MYR
2018-10-31,0.321,0.335,0.316,0.325,3389800,MYR
2018-11-01,0.33,0.335,0.321,0.321,1307000,MYR
2018-11-02,0.325,0.34,0.321,0.335,3097800,MYR
2018-11-05,0.335,0.335,0.325,0.33,1119400,MYR
2018-11-07,0.325,0.34,0.325,0.33,1351400,MYR
2018-11-08,0.335,0.359,0.335,0.35,5730000,MYR
2018-11-09,0.35,0.364,0.34,0.345,4940800,MYR
2018-11-12,0.345,0.355,0.345,0.35,1482200,MYR
2018-11-13,0.34,0.369,0.34,0.364,7532100,MYR
2018-11-14,0.359,0.364,0.34,0.34,4630500,MYR
2018-11-15,0.345,0.355,0.345,0.355,1884300,MYR
2018-11-16,0.355,0.355,0.345,0.35,932000,MYR
2018-11-19,0.345,0.359,0.345,0.35,4195500,MYR
2018-11-21,0.34,0.355,0.34,0.35,4382100,MYR
2018-11-22,0.345,0.355,0.345,0.35,1947900,MYR
2018-11-23,0.345,0.35,0.345,0.345,970300,MYR
2018-11-26,0.345,0.345,0.33,0.33,2458100,MYR
2018-11-27,0.335,0.335,0.321,0.321,1512500,MYR
2018-11-28,0.321,0.33,0.321,0.321,842800,MYR
2018-11-29,0.325,0.335,0.321,0.325,1464100,MYR
2018-11-30,0.321,0.325,0.316,0.316,733800,MYR
2018-12-03,0.321,0.335,0.321,0.335,1556500,MYR
2018-12-04,0.33,0.335,0.321,0.33,440400,MYR
2018-12-05,0.316,0.325,0.316,0.316,534800,MYR
2018-12-06,0.316,0.321,0.316,0.321,321100,MYR
2018-12-07,0.321,0.325,0.311,0.311,1176300,MYR
2018-12-10,0.311,0.316,0.306,0.316,1008300,MYR
2018-12-11,0.311,0.316,0.306,0.311,1616600,MYR
2018-12-12,0.311,0.321,0.311,0.316,569000,MYR
2018-12-13,0.316,0.335,0.316,0.325,1247400,MYR
2018-12-14,0.33,0.33,0.316,0.321,470400,MYR
2018-12-17,0.321,0.321,0.311,0.316,451400,MYR
2018-12-18,0.306,0.311,0.296,0.306,3170700,MYR
2018-12-19,0.306,0.316,0.301,0.311,1033800,MYR
2018-12-20,0.306,0.311,0.306,0.306,272700,MYR
2018-12-21,0.306,0.316,0.306,0.316,941300,MYR
2018-12-24,0.311,0.321,0.311,0.321,507600,MYR
2018-12-26,0.316,0.316,0.306,0.311,584000,MYR
2018-12-27,0.316,0.316,0.311,0.316,572000,MYR
2018-12-28,0.316,0.321,0.311,0.316,228400,MYR
2018-12-31,0.316,0.335,0.311,0.321,971900,MYR
2019-01-02,0.321,0.325,0.311,0.311,1968800,MYR
2019-01-03,0.316,0.321,0.311,0.321,710900,MYR
2019-01-04,0.316,0.335,0.316,0.335,1496200,MYR
2019-01-07,0.335,0.345,0.33,0.34,8158600,MYR
2019-01-08,0.315,0.32,0.305,0.32,921000,MYR
2019-01-09,0.315,0.32,0.315,0.32,484400,MYR
2019-01-10,0.32,0.32,0.315,0.32,822800,MYR
2019-01-11,0.315,0.34,0.315,0.32,1731600,MYR
2019-01-14,0.325,0.335,0.325,0.325,842000,MYR
2019-01-15,0.325,0.325,0.32,0.325,262200,MYR
2019-01-16,0.325,0.325,0.315,0.315,1918500,MYR
2019-01-17,0.315,0.325,0.315,0.325,919200,MYR
2019-01-18,0.325,0.325,0.315,0.32,545100,MYR
2019-01-22,0.315,0.325,0.31,0.315,1872900,MYR
2019-01-23,0.315,0.32,0.305,0.31,658000,MYR
2019-01-24,0.31,0.315,0.305,0.315,1529900,MYR
2019-01-25,0.31,0.315,0.31,0.315,320600,MYR
2019-01-28,0.31,0.32,0.31,0.31,1097100,MYR
2019-01-29,0.305,0.315,0.305,0.315,439500,MYR
2019-01-30,0.31,0.315,0.305,0.31,222000,MYR
2019-01-31,0.31,0.335,0.31,0.33,4880100,MYR
2019-02-04,0.33,0.335,0.325,0.33,452600,MYR
2019-02-07,0.33,0.34,0.325,0.335,191900,MYR
2019-02-08,0.335,0.335,0.325,0.335,313200,MYR
2019-02-11,0.335,0.34,0.335,0.34,269400,MYR
2019-02-12,0.335,0.36,0.335,0.35,3529000,MYR
2019-02-13,0.35,0.35,0.34,0.35,480400,MYR
2019-02-14,0.345,0.35,0.34,0.35,460800,MYR
2019-02-15,0.35,0.35,0.34,0.34,1009500,MYR
2019-02-18,0.345,0.36,0.345,0.345,4715300,MYR
2019-02-19,0.35,0.35,0.34,0.345,159500,MYR
2019-02-20,0.355,0.36,0.345,0.35,4187900,MYR
2019-02-21,0.35,0.35,0.34,0.34,898900,MYR
2019-02-22,0.34,0.34,0.325,0.335,1492200,MYR
2019-02-25,0.335,0.335,0.33,0.335,273200,MYR
2019-02-26,0.33,0.33,0.32,0.325,956800,MYR
2019-02-27,0.33,0.33,0.32,0.325,373200,MYR
2019-02-28,0.32,0.325,0.31,0.315,1347900,MYR
2019-03-01,0.315,0.32,0.31,0.32,2100800,MYR
2019-03-04,0.32,0.33,0.315,0.325,923900,MYR
2019-03-05,0.33,0.33,0.32,0.325,602100,MYR
2019-03-06,0.32,0.325,0.315,0.315,1067500,MYR
2019-03-07,0.315,0.325,0.315,0.32,362300,MYR
2019-03-08,0.32,0.32,0.315,0.32,522000,MYR
2019-03-11,0.315,0.32,0.31,0.32,484000,MYR
2019-03-12,0.315,0.32,0.315,0.315,289800,MYR
2019-03-13,0.315,0.32,0.315,0.32,175600,MYR
2019-03-14,0.315,0.315,0.315,0.315,536000,MYR
2019-03-15,0.315,0.345,0.315,0.34,4537700,MYR
2019-03-18,0.345,0.345,0.335,0.34,617100,MYR
2019-03-19,0.34,0.34,0.325,0.33,389700,MYR
2019-03-20,0.325,0.33,0.32,0.33,161300,MYR
2019-03-21,0.33,0.33,0.32,0.33,438700,MYR
2019-03-22,0.32,0.325,0.32,0.325,361100,MYR
2019-03-25,0.32,0.32,0.315,0.32,341100,MYR
2019-03-26,0.32,0.33,0.32,0.325,286900,MYR
2019-03-27,0.32,0.32,0.315,0.315,147400,MYR
2019-03-28,0.32,0.325,0.32,0.325,122800,MYR
2019-03-29,0.32,0.325,0.32,0.325,243200,MYR
2019-04-01,0.32,0.325,0.32,0.325,51800,MYR
2019-04-02,0.32,0.32,0.315,0.32,1407500,MYR
2019-04-03,0.32,0.325,0.31,0.32,3290000,MYR
2019-04-04,0.315,0.32,0.31,0.315,457100,MYR
2019-04-05,0.315,0.315,0.31,0.315,918600,MYR
2019-04-08,0.315,0.315,0.31,0.315,348500,MYR
2019-04-09,0.315,0.315,0.31,0.31,887100,MYR
2019-04-10,0.315,0.325,0.315,0.32,1151400,MYR
2019-04-11,0.32,0.32,0.315,0.32,811900,MYR
2019-04-12,0.32,0.32,0.31,0.32,286700,MYR
2019-04-15,0.32,0.32,0.31,0.31,170800,MYR
2019-04-16,0.31,0.315,0.31,0.315,320100,MYR
2019-04-17,0.31,0.31,0.305,0.31,655100,MYR
2019-04-18,0.31,0.31,0.305,0.31,254100,MYR
2019-04-19,0.31,0.315,0.305,0.315,45100,MYR
2019-04-22,0.31,0.315,0.305,0.31,382800,MYR
2019-04-23,0.305,0.31,0.305,0.31,140000,MYR
2019-04-24,0.31,0.315,0.31,0.315,212500,MYR
2019-04-25,0.31,0.31,0.305,0.305,308400,MYR
2019-04-26,0.305,0.31,0.305,0.31,71500,MYR
2019-04-29,0.31,0.31,0.305,0.31,152100,MYR
2019-04-30,0.31,0.31,0.305,0.31,130000,MYR
2019-05-02,0.31,0.31,0.3,0.305,1069700,MYR
2019-05-03,0.305,0.305,0.3,0.305,177100,MYR
2019-05-06,0.3,0.3,0.295,0.3,802900,MYR
2019-05-07,0.3,0.305,0.3,0.305,412800,MYR
2019-05-08,0.3,0.3,0.3,0.3,363000,MYR
2019-05-09,0.3,0.3,0.295,0.3,436500,MYR
2019-05-10,0.295,0.305,0.29,0.305,255000,MYR
2019-05-13,0.295,0.295,0.29,0.295,791900,MYR
2019-05-14,0.29,0.3,0.29,0.3,283100,MYR
2019-05-15,0.29,0.305,0.29,0.305,111900,MYR
2019-05-16,0.305,0.305,0.3,0.3,172000,MYR
2019-05-17,0.3,0.3,0.295,0.295,355900,MYR
2019-05-21,0.305,0.315,0.3,0.315,609200,MYR
2019-05-23,0.31,0.315,0.305,0.31,674600,MYR
2019-05-24,0.31,0.315,0.305,0.31,583300,MYR
2019-05-27,0.315,0.315,0.31,0.315,387300,MYR
2019-05-28,0.31,0.31,0.305,0.305,550400,MYR
2019-05-29,0.305,0.31,0.305,0.31,112000,MYR
2019-05-30,0.31,0.315,0.305,0.315,280000,MYR
2019-05-31,0.315,0.32,0.31,0.315,374800,MYR
2019-06-03,0.31,0.31,0.305,0.31,367800,MYR
2019-06-04,0.31,0.31,0.31,0.31,7000,MYR
2019-06-07,0.31,0.31,0.305,0.31,141200,MYR
2019-06-10,0.315,0.315,0.31,0.315,263900,MYR
2019-06-11,0.315,0.315,0.31,0.31,322400,MYR
2019-06-12,0.31,0.325,0.31,0.32,2884900,MYR
2019-06-13,0.32,0.335,0.31,0.315,11695600,MYR
2019-06-14,0.315,0.315,0.305,0.305,1078600,MYR
2019-06-17,0.305,0.305,0.3,0.305,1040400,MYR
2019-06-18,0.3,0.315,0.3,0.315,1749500,MYR
2019-06-19,0.315,0.315,0.305,0.31,585500,MYR
2019-06-20,0.31,0.31,0.3,0.305,894400,MYR
2019-06-21,0.305,0.32,0.3,0.32,2145900,MYR
2019-06-24,0.32,0.32,0.31,0.315,1018200,MYR
2019-06-25,0.315,0.33,0.31,0.33,6133400,MYR
2019-06-26,0.33,0.33,0.32,0.33,2361300,MYR
2019-06-27,0.33,0.335,0.325,0.335,4607300,MYR
2019-06-28,0.335,0.34,0.33,0.34,8742500,MYR
2019-07-01,0.34,0.34,0.335,0.34,1404100,MYR
2019-07-02,0.34,0.37,0.32,0.32,32810500,MYR
2019-07-03,0.32,0.32,0.31,0.32,1538200,MYR
2019-07-04,0.315,0.32,0.31,0.315,1726400,MYR
2019-07-05,0.31,0.32,0.31,0.31,2651700,MYR
2019-07-08,0.315,0.32,0.315,0.32,1442800,MYR
2019-07-09,0.32,0.32,0.31,0.31,2661600,MYR
2019-07-10,0.31,0.31,0.305,0.305,3995900,MYR
2019-07-11,0.305,0.31,0.3,0.305,3006500,MYR
2019-07-12,0.305,0.33,0.305,0.305,5518400,MYR
2019-07-15,0.305,0.31,0.305,0.305,198600,MYR
2019-07-16,0.305,0.31,0.305,0.31,1096600,MYR
2019-07-17,0.305,0.31,0.3,0.31,1232700,MYR
2019-07-18,0.31,0.31,0.305,0.31,863600,MYR
2019-07-19,0.305,0.31,0.305,0.31,349100,MYR
2019-07-22,0.31,0.31,0.305,0.305,1883100,MYR
2019-07-23,0.305,0.31,0.305,0.305,283700,MYR
2019-07-24,0.305,0.31,0.305,0.305,879900,MYR
2019-07-25,0.305,0.305,0.3,0.305,3041000,MYR
2019-07-26,0.305,0.305,0.3,0.305,497400,MYR
2019-07-29,0.3,0.3,0.295,0.295,2904400,MYR
2019-07-31,0.295,0.3,0.295,0.295,325500,MYR
2019-08-01,0.295,0.3,0.295,0.3,188600,MYR
2019-08-02,0.295,0.3,0.29,0.295,698000,MYR
2019-08-05,0.295,0.295,0.29,0.29,927600,MYR
2019-08-06,0.29,0.3,0.28,0.295,712000,MYR
