Date,Open,High,Low,Close,Volume,Currency
2013-03-01,0.215,0.215,0.215,0.215,3000,MYR
2013-03-04,0.2,0.2,0.2,0.2,16000,MYR
2013-03-05,0.21,0.22,0.205,0.205,25000,MYR
2013-03-06,0.21,0.21,0.21,0.21,13000,MYR
2013-03-07,0.21,0.23,0.21,0.215,8000,MYR
2013-03-08,0.24,0.24,0.22,0.22,22000,MYR
2013-03-12,0.22,0.225,0.215,0.215,73000,MYR
2013-03-13,0.215,0.215,0.215,0.215,11000,MYR
2013-03-14,0.215,0.22,0.215,0.22,4000,MYR
2013-03-15,0.215,0.22,0.215,0.22,6000,MYR
2013-03-19,0.21,0.21,0.21,0.21,23000,MYR
2013-03-20,0.22,0.24,0.215,0.225,17300,MYR
2013-03-21,0.215,0.215,0.215,0.215,20000,MYR
2013-03-25,0.215,0.215,0.215,0.215,8900,MYR
2013-03-26,0.22,0.22,0.215,0.22,46500,MYR
2013-03-27,0.22,0.24,0.22,0.23,55100,MYR
2013-03-28,0.225,0.23,0.225,0.23,48000,MYR
2013-03-29,0.23,0.23,0.23,0.23,22000,MYR
2013-04-01,0.24,0.24,0.24,0.24,25000,MYR
2013-04-02,0.235,0.24,0.23,0.24,76900,MYR
2013-04-03,0.23,0.235,0.23,0.23,61000,MYR
2013-04-04,0.225,0.235,0.225,0.235,34000,MYR
2013-04-08,0.255,0.26,0.245,0.26,94500,MYR
2013-04-09,0.26,0.285,0.26,0.285,66100,MYR
2013-04-11,0.26,0.26,0.26,0.26,11000,MYR
2013-04-12,0.255,0.28,0.255,0.28,1100,MYR
2013-04-15,0.265,0.265,0.24,0.26,48200,MYR
2013-04-16,0.25,0.25,0.25,0.25,56000,MYR
2013-04-17,0.24,0.25,0.24,0.245,31000,MYR
2013-04-18,0.25,0.26,0.25,0.255,75000,MYR
2013-04-19,0.27,0.3,0.27,0.3,186000,MYR
2013-04-22,0.265,0.265,0.265,0.265,25000,MYR
2013-04-23,0.25,0.25,0.25,0.25,25000,MYR
2013-04-24,0.25,0.26,0.25,0.26,6000,MYR
2013-04-25,0.295,0.295,0.26,0.26,27200,MYR
2013-04-26,0.265,0.265,0.26,0.265,17600,MYR
2013-04-29,0.25,0.255,0.25,0.25,28000,MYR
2013-04-30,0.24,0.24,0.24,0.24,7000,MYR
2013-05-02,0.235,0.24,0.235,0.235,35300,MYR
2013-05-03,0.23,0.235,0.23,0.235,19000,MYR
2013-05-06,0.23,0.23,0.225,0.23,64000,MYR
2013-05-07,0.235,0.235,0.235,0.235,1000,MYR
2013-05-08,0.29,0.29,0.29,0.29,20000,MYR
2013-05-09,0.24,0.25,0.24,0.245,26000,MYR
2013-05-10,0.245,0.245,0.245,0.245,4000,MYR
2013-05-13,0.255,0.285,0.255,0.285,8000,MYR
2013-05-14,0.26,0.28,0.26,0.27,53000,MYR
2013-05-15,0.28,0.3,0.28,0.3,12100,MYR
2013-05-16,0.26,0.26,0.26,0.26,2000,MYR
2013-05-17,0.26,0.3,0.26,0.3,3200,MYR
2013-05-20,0.3,0.32,0.28,0.28,83100,MYR
2013-05-21,0.28,0.315,0.28,0.31,142200,MYR
2013-05-22,0.31,0.31,0.27,0.29,103200,MYR
2013-05-23,0.27,0.28,0.265,0.265,83400,MYR
2013-05-27,0.265,0.265,0.265,0.265,1000,MYR
2013-05-28,0.265,0.27,0.265,0.265,71300,MYR
2013-05-29,0.265,0.27,0.265,0.27,144100,MYR
2013-05-30,0.265,0.285,0.26,0.285,10000,MYR
2013-05-31,0.265,0.27,0.265,0.265,41300,MYR
2013-06-03,0.27,0.27,0.26,0.26,65000,MYR
2013-06-04,0.26,0.265,0.26,0.265,27600,MYR
2013-06-05,0.24,0.24,0.24,0.24,1000,MYR
2013-06-06,0.24,0.25,0.24,0.25,4000,MYR
2013-06-07,0.25,0.25,0.245,0.245,18000,MYR
2013-06-11,0.25,0.25,0.25,0.25,1000,MYR
2013-06-12,0.23,0.23,0.23,0.23,1000,MYR
2013-06-13,0.23,0.25,0.23,0.25,58900,MYR
2013-06-14,0.25,0.255,0.25,0.255,39000,MYR
2013-06-17,0.24,0.245,0.24,0.245,2000,MYR
2013-06-18,0.23,0.23,0.23,0.23,5000,MYR
2013-06-19,0.225,0.24,0.225,0.24,3000,MYR
2013-06-20,0.23,0.24,0.23,0.24,69000,MYR
2013-06-21,0.23,0.23,0.23,0.23,2000,MYR
2013-06-24,0.23,0.23,0.23,0.23,85000,MYR
2013-06-27,0.23,0.23,0.23,0.23,3000,MYR
2013-07-02,0.23,0.23,0.23,0.23,1000,MYR
2013-07-03,0.23,0.23,0.23,0.23,14000,MYR
2013-07-04,0.235,0.245,0.235,0.245,14000,MYR
2013-07-05,0.245,0.25,0.245,0.25,5000,MYR
2013-07-09,0.245,0.245,0.245,0.245,1000,MYR
2013-07-10,0.23,0.23,0.23,0.23,2000,MYR
2013-07-11,0.23,0.24,0.23,0.24,12000,MYR
2013-07-12,0.24,0.24,0.24,0.24,3000,MYR
2013-07-15,0.24,0.24,0.24,0.24,7000,MYR
2013-07-17,0.245,0.26,0.245,0.245,15000,MYR
2013-07-18,0.245,0.245,0.245,0.245,1000,MYR
2013-07-22,0.255,0.275,0.25,0.275,124000,MYR
2013-07-23,0.26,0.26,0.255,0.255,70000,MYR
2013-07-24,0.27,0.285,0.255,0.255,226000,MYR
2013-07-25,0.265,0.265,0.265,0.265,4000,MYR
2013-07-26,0.265,0.265,0.255,0.26,253000,MYR
2013-07-29,0.265,0.285,0.265,0.275,39500,MYR
2013-07-30,0.275,0.275,0.27,0.27,46000,MYR
2013-07-31,0.27,0.27,0.26,0.26,209000,MYR
2013-08-01,0.25,0.255,0.25,0.255,151000,MYR
2013-08-02,0.265,0.27,0.265,0.27,105000,MYR
2013-08-05,0.28,0.29,0.265,0.28,306700,MYR
2013-08-06,0.28,0.295,0.28,0.295,124000,MYR
2013-08-12,0.27,0.285,0.27,0.285,247100,MYR
2013-08-13,0.275,0.285,0.27,0.275,293500,MYR
2013-08-14,0.28,0.285,0.275,0.28,85400,MYR
2013-08-15,0.29,0.29,0.275,0.275,279800,MYR
2013-08-16,0.275,0.335,0.275,0.33,1827700,MYR
2013-08-19,0.325,0.335,0.315,0.315,318500,MYR
2013-08-20,0.305,0.305,0.29,0.29,260000,MYR
2013-08-21,0.295,0.295,0.295,0.295,228000,MYR
