Date,Open,High,Low,Close,Volume,Currency
2013-10-10,0.39,0.4,0.39,0.39,44900,MYR
2013-10-18,0.375,0.43,0.375,0.43,10100,MYR
2013-10-21,0.375,0.41,0.375,0.38,35000,MYR
2013-10-23,0.39,0.39,0.39,0.39,1900,MYR
2013-10-25,0.38,0.44,0.38,0.44,90100,MYR
2013-10-28,0.4,0.4,0.4,0.4,24700,MYR
2013-11-01,0.4,0.41,0.4,0.4,80300,MYR
2013-11-04,0.4,0.4,0.4,0.4,19500,MYR
2013-11-06,0.4,0.4,0.4,0.4,900,MYR
2013-11-15,0.395,0.41,0.395,0.41,40000,MYR
2013-11-21,0.7,0.7,0.41,0.41,3100,MYR
2013-11-22,0.43,0.43,0.42,0.42,121000,MYR
2013-11-25,0.42,0.5,0.42,0.425,69200,MYR
2013-11-26,0.45,0.45,0.45,0.45,31900,MYR
2013-11-27,0.44,0.52,0.44,0.5,126200,MYR
2013-11-28,0.525,0.55,0.47,0.5,323800,MYR
2013-11-29,0.545,0.545,0.46,0.525,11000,MYR
2013-12-02,0.485,0.5,0.485,0.5,4200,MYR
2013-12-04,0.46,0.5,0.45,0.5,5700,MYR
2013-12-05,0.44,0.44,0.44,0.44,1000,MYR
2013-12-06,0.55,0.55,0.465,0.5,15200,MYR
2013-12-09,0.56,0.56,0.51,0.51,200,MYR
2013-12-11,0.55,0.55,0.47,0.48,3800,MYR
2013-12-13,0.41,0.45,0.41,0.45,3000,MYR
2013-12-16,0.58,0.58,0.505,0.505,200,MYR
2013-12-26,0.53,0.53,0.53,0.53,1000,MYR
2013-12-27,0.45,0.5,0.45,0.5,3200,MYR
2013-12-30,0.425,0.48,0.425,0.435,17900,MYR
2014-01-02,0.53,0.53,0.48,0.48,1200,MYR
2014-01-03,0.66,0.66,0.435,0.44,41700,MYR
2014-01-08,0.45,0.46,0.44,0.46,49600,MYR
2014-01-09,0.45,0.5,0.45,0.5,20100,MYR
2014-01-10,0.47,0.47,0.44,0.465,63000,MYR
2014-01-13,0.44,0.47,0.44,0.47,22700,MYR
2014-01-15,0.45,0.45,0.45,0.45,40000,MYR
2014-01-16,0.47,0.475,0.46,0.475,164800,MYR
2014-01-20,0.45,0.45,0.45,0.45,5000,MYR
2014-01-21,0.455,0.48,0.455,0.48,27900,MYR
2014-01-22,0.46,0.46,0.46,0.46,5000,MYR
2014-01-23,0.48,0.48,0.48,0.48,26200,MYR
2014-01-24,0.46,0.475,0.46,0.475,60000,MYR
2014-01-29,0.455,0.475,0.45,0.475,14100,MYR
2014-02-05,0.48,0.48,0.445,0.48,5200,MYR
2014-02-06,0.475,0.475,0.475,0.475,15000,MYR
2014-02-07,0.45,0.475,0.45,0.46,148200,MYR
2014-02-13,0.43,0.46,0.43,0.46,31000,MYR
2014-02-17,0.45,0.46,0.45,0.46,93300,MYR
2014-02-18,0.45,0.46,0.45,0.46,107000,MYR
2014-02-20,0.455,0.46,0.455,0.46,52800,MYR
2014-02-21,0.46,0.46,0.46,0.46,42000,MYR
2014-02-24,0.46,0.465,0.46,0.465,62000,MYR
2014-02-25,0.465,0.48,0.465,0.48,146000,MYR
2014-02-26,0.47,0.47,0.47,0.47,10000,MYR
2014-02-27,0.47,0.47,0.47,0.47,6000,MYR
2014-02-28,0.45,0.45,0.45,0.45,2000,MYR
2014-03-11,0.41,0.47,0.41,0.47,700,MYR
2014-03-13,0.46,0.47,0.46,0.47,30000,MYR
2014-03-17,0.465,0.465,0.465,0.465,7100,MYR
2014-03-19,0.43,0.47,0.43,0.47,34000,MYR
2014-03-21,0.46,0.46,0.46,0.46,11400,MYR
2014-03-24,0.46,0.46,0.45,0.45,11500,MYR
2014-03-26,0.44,0.46,0.44,0.46,31000,MYR
2014-03-28,0.46,0.46,0.46,0.46,2500,MYR
2014-03-31,0.46,0.46,0.46,0.46,5000,MYR
2014-04-01,0.46,0.46,0.435,0.435,36000,MYR
2014-04-02,0.445,0.445,0.445,0.445,2000,MYR
2014-04-04,0.46,0.46,0.46,0.46,1500,MYR
2014-04-10,0.47,0.47,0.47,0.47,1500,MYR
2014-04-14,0.435,0.47,0.43,0.47,29100,MYR
2014-04-15,0.47,0.48,0.47,0.48,12100,MYR
2014-04-16,0.48,0.55,0.48,0.55,48000,MYR
2014-04-23,0.54,0.54,0.5,0.54,67300,MYR
2014-04-24,0.55,0.55,0.505,0.545,3300,MYR
2014-04-25,0.545,0.55,0.545,0.55,8900,MYR
2014-05-02,0.535,0.535,0.48,0.48,35500,MYR
2014-05-07,0.5,0.52,0.485,0.485,10100,MYR
2014-05-08,0.485,0.535,0.485,0.535,49400,MYR
2014-05-12,0.5,0.53,0.5,0.53,16000,MYR
2014-05-14,0.49,0.52,0.49,0.52,29900,MYR
2014-05-19,0.475,0.52,0.475,0.515,12600,MYR
2014-05-20,0.495,0.54,0.495,0.515,13000,MYR
2014-05-22,0.54,0.54,0.54,0.54,100,MYR
2014-05-26,0.525,0.525,0.525,0.525,9900,MYR
2014-05-29,0.51,0.545,0.48,0.525,30200,MYR
2014-05-30,0.51,0.515,0.5,0.5,57000,MYR
2014-06-04,0.535,0.535,0.535,0.535,200,MYR
2014-06-09,0.53,0.53,0.525,0.525,2800,MYR
2014-06-10,0.5,0.51,0.49,0.51,20000,MYR
2014-06-11,0.51,0.6,0.51,0.6,15100,MYR
2014-06-12,0.495,0.55,0.49,0.55,80100,MYR
2014-06-16,0.525,0.6,0.52,0.53,112300,MYR
2014-06-17,0.54,0.65,0.54,0.65,167500,MYR
2014-06-18,0.65,0.7,0.615,0.69,97400,MYR
2014-06-19,0.645,0.685,0.64,0.675,192100,MYR
2014-06-20,0.63,0.65,0.63,0.65,49900,MYR
2014-06-23,0.66,0.66,0.66,0.66,10000,MYR
2014-06-24,0.615,0.68,0.61,0.68,279300,MYR
2014-06-25,0.63,0.72,0.63,0.65,319700,MYR
2014-06-26,0.65,0.68,0.635,0.64,147900,MYR
2014-06-27,0.61,0.64,0.6,0.64,65000,MYR
2014-06-30,0.62,0.62,0.62,0.62,45000,MYR
2014-07-01,0.6,0.615,0.59,0.6,124100,MYR
2014-07-03,0.58,0.58,0.55,0.58,62200,MYR
2014-07-04,0.58,0.58,0.58,0.58,24200,MYR
2014-07-07,0.58,0.595,0.56,0.57,93100,MYR
2014-07-08,0.57,0.58,0.57,0.58,16000,MYR
2014-07-09,0.56,0.58,0.56,0.58,21000,MYR
2014-07-10,0.57,0.59,0.57,0.585,330000,MYR
2014-07-11,0.57,0.57,0.57,0.57,2000,MYR
2014-07-16,0.55,0.55,0.55,0.55,3600,MYR
2014-07-17,0.545,0.59,0.545,0.59,6000,MYR
2014-07-18,0.54,0.58,0.54,0.58,18800,MYR
2014-07-24,0.56,0.56,0.545,0.545,39200,MYR
2014-07-25,0.575,0.575,0.575,0.575,1000,MYR
2014-08-06,0.535,0.575,0.535,0.575,3000,MYR
2014-08-07,0.53,0.57,0.53,0.57,31000,MYR
2014-08-14,0.57,0.57,0.57,0.57,1000,MYR
2014-08-15,0.57,0.58,0.56,0.58,59800,MYR
2014-08-18,0.58,0.58,0.58,0.58,15000,MYR
2014-08-19,0.58,0.58,0.57,0.57,50000,MYR
2014-08-20,0.57,0.595,0.57,0.595,15000,MYR
2014-08-21,0.565,0.61,0.565,0.61,2000,MYR
2014-08-25,0.565,0.61,0.565,0.61,3100,MYR
2014-08-26,0.62,0.62,0.6,0.6,26500,MYR
2014-08-27,0.575,0.61,0.575,0.61,5000,MYR
2014-08-29,0.635,0.635,0.635,0.635,10000,MYR
2014-09-02,0.57,0.6,0.56,0.6,15100,MYR
2014-09-03,0.56,0.59,0.56,0.59,5100,MYR
2014-09-04,0.56,0.6,0.56,0.56,11600,MYR
2014-09-05,0.56,0.595,0.56,0.595,10000,MYR
2014-09-12,0.6,0.6,0.58,0.6,32000,MYR
2014-09-15,0.57,0.6,0.56,0.6,20100,MYR
2014-09-30,0.565,0.59,0.565,0.59,8900,MYR
2014-10-03,0.6,0.6,0.59,0.595,400,MYR
2014-10-07,0.565,0.58,0.56,0.57,12000,MYR
2014-10-08,0.55,0.57,0.55,0.57,5100,MYR
2014-10-28,0.52,0.545,0.52,0.545,16000,MYR
2014-10-29,0.545,0.565,0.545,0.565,9100,MYR
2014-10-30,0.56,0.59,0.56,0.59,9000,MYR
2014-10-31,0.65,0.65,0.65,0.65,5000,MYR
2014-11-03,0.615,0.615,0.6,0.6,9000,MYR
2014-11-04,0.545,0.545,0.545,0.545,9000,MYR
2014-11-05,0.61,0.61,0.6,0.605,24000,MYR
2014-11-07,0.565,0.575,0.565,0.575,23000,MYR
2014-11-10,0.55,0.55,0.55,0.55,9000,MYR
2014-11-11,0.54,0.545,0.54,0.54,29000,MYR
2014-11-12,0.575,0.575,0.575,0.575,9000,MYR
2014-11-17,0.545,0.545,0.545,0.545,9000,MYR
2014-11-18,0.595,0.595,0.565,0.58,13000,MYR
2014-11-19,0.54,0.575,0.54,0.575,700,MYR
2014-11-20,0.54,0.57,0.54,0.57,3000,MYR
2014-11-21,0.535,0.565,0.535,0.565,11100,MYR
2014-12-01,0.515,0.56,0.505,0.56,9100,MYR
2014-12-02,0.49,0.56,0.49,0.56,1700,MYR
2014-12-03,0.55,0.555,0.55,0.555,200,MYR
2014-12-09,0.48,0.55,0.48,0.545,2100,MYR
2014-12-12,0.545,0.545,0.48,0.545,4400,MYR
2014-12-29,0.48,0.53,0.48,0.52,6100,MYR
2015-01-13,0.6,0.6,0.55,0.55,1000,MYR
2015-01-15,0.48,0.56,0.48,0.55,4000,MYR
2015-01-23,0.55,0.55,0.55,0.55,300,MYR
2015-01-30,0.495,0.56,0.49,0.54,11300,MYR
2015-02-12,0.5,0.54,0.5,0.535,18200,MYR
2015-02-13,0.525,0.53,0.5,0.53,6100,MYR
2015-02-17,0.5,0.525,0.5,0.51,8000,MYR
2015-02-18,0.56,0.56,0.525,0.525,6500,MYR
2015-02-24,0.495,0.535,0.495,0.535,6500,MYR
2015-02-25,0.545,0.545,0.535,0.535,6000,MYR
2015-02-26,0.535,0.535,0.505,0.535,7500,MYR
2015-03-02,0.54,0.54,0.52,0.535,21100,MYR
2015-03-10,0.5,0.5,0.5,0.5,6200,MYR
2015-03-13,0.53,0.53,0.53,0.53,1000,MYR
2015-03-19,0.48,0.53,0.48,0.53,5100,MYR
2015-03-23,0.47,0.53,0.47,0.52,10700,MYR
2015-03-31,0.52,0.525,0.52,0.525,10000,MYR
2015-04-01,0.51,0.51,0.51,0.51,12100,MYR
2015-04-06,0.51,0.51,0.51,0.51,6000,MYR
2015-04-07,0.51,0.51,0.51,0.51,15900,MYR
2015-04-10,0.47,0.5,0.47,0.5,45700,MYR
2015-04-13,0.495,0.505,0.485,0.485,42000,MYR
2015-04-17,0.49,0.51,0.49,0.51,16600,MYR
2015-04-20,0.5,0.53,0.5,0.53,14200,MYR
2015-04-21,0.53,0.54,0.52,0.54,13000,MYR
2015-04-22,0.54,0.58,0.53,0.53,5100,MYR
2015-04-23,0.535,0.535,0.535,0.535,10000,MYR
2015-04-27,0.505,0.53,0.505,0.53,32700,MYR
2015-04-28,0.53,0.53,0.53,0.53,1000,MYR
2015-05-06,0.49,0.53,0.49,0.53,1300,MYR
