Date,Open,High,Low,Close,Volume,Currency
2014-09-29,0.25,0.25,0.245,0.25,629000,MYR
2014-09-30,0.245,0.25,0.245,0.25,388400,MYR
2014-10-01,0.25,0.255,0.25,0.255,139800,MYR
2014-10-02,0.25,0.25,0.25,0.25,446000,MYR
2014-10-03,0.25,0.25,0.25,0.25,145000,MYR
2014-10-07,0.245,0.245,0.235,0.235,763200,MYR
2014-10-08,0.235,0.235,0.22,0.225,530500,MYR
2014-10-09,0.225,0.23,0.225,0.23,188100,MYR
2014-10-10,0.22,0.225,0.215,0.225,403100,MYR
2014-10-13,0.22,0.22,0.2,0.205,2077500,MYR
2014-10-14,0.2,0.21,0.2,0.21,775000,MYR
2014-10-15,0.21,0.21,0.205,0.205,575600,MYR
2014-10-16,0.205,0.205,0.195,0.195,1231600,MYR
2014-10-17,0.195,0.205,0.195,0.205,343400,MYR
2014-10-20,0.205,0.21,0.205,0.205,418200,MYR
2014-10-21,0.205,0.205,0.2,0.205,242000,MYR
2014-10-23,0.21,0.215,0.205,0.21,50100,MYR
2014-10-24,0.21,0.21,0.205,0.21,203000,MYR
2014-10-27,0.215,0.23,0.215,0.225,359400,MYR
2014-10-28,0.22,0.22,0.215,0.22,435700,MYR
2014-10-29,0.22,0.225,0.22,0.22,569900,MYR
2014-10-30,0.215,0.22,0.215,0.22,170100,MYR
2014-10-31,0.22,0.225,0.22,0.225,240000,MYR
2014-11-03,0.225,0.23,0.22,0.22,125000,MYR
2014-11-06,0.215,0.24,0.215,0.235,482000,MYR
2014-11-07,0.245,0.275,0.24,0.27,12377500,MYR
2014-11-10,0.27,0.27,0.245,0.25,6580600,MYR
2014-11-11,0.25,0.25,0.225,0.23,2288500,MYR
2014-11-12,0.23,0.24,0.225,0.24,2936000,MYR
2014-11-13,0.23,0.23,0.225,0.225,2372000,MYR
2014-11-14,0.225,0.225,0.215,0.215,2388000,MYR
2014-11-17,0.215,0.225,0.215,0.22,642200,MYR
2014-11-18,0.22,0.24,0.22,0.23,7952500,MYR
2014-11-19,0.23,0.24,0.22,0.225,3805500,MYR
2014-11-20,0.225,0.225,0.22,0.225,530600,MYR
2014-11-21,0.225,0.23,0.22,0.23,1129200,MYR
2014-11-24,0.23,0.23,0.225,0.23,1587500,MYR
2014-11-25,0.225,0.225,0.22,0.22,1497200,MYR
2014-11-26,0.22,0.22,0.22,0.22,362700,MYR
2014-11-27,0.22,0.22,0.21,0.215,1132500,MYR
2014-11-28,0.21,0.21,0.195,0.2,1588000,MYR
2014-12-01,0.195,0.195,0.18,0.19,1158300,MYR
2014-12-02,0.18,0.19,0.18,0.19,593500,MYR
2014-12-03,0.185,0.19,0.18,0.19,134100,MYR
2014-12-04,0.185,0.185,0.175,0.185,402100,MYR
2014-12-05,0.18,0.185,0.18,0.18,176000,MYR
2014-12-08,0.18,0.18,0.18,0.18,84100,MYR
2014-12-09,0.175,0.18,0.17,0.175,488100,MYR
2014-12-10,0.17,0.175,0.17,0.175,213000,MYR
2014-12-11,0.175,0.175,0.17,0.175,282000,MYR
2014-12-12,0.17,0.175,0.17,0.175,393200,MYR
2014-12-15,0.17,0.17,0.14,0.15,1879800,MYR
2014-12-16,0.145,0.15,0.14,0.15,449600,MYR
2014-12-17,0.16,0.16,0.16,0.16,140000,MYR
2014-12-18,0.16,0.16,0.155,0.16,191100,MYR
2014-12-19,0.16,0.17,0.16,0.17,282000,MYR
2014-12-22,0.165,0.18,0.165,0.18,234700,MYR
2014-12-23,0.175,0.175,0.17,0.175,90100,MYR
2014-12-24,0.17,0.175,0.17,0.175,30100,MYR
2014-12-26,0.17,0.175,0.17,0.175,79900,MYR
2014-12-29,0.165,0.18,0.165,0.18,100100,MYR
2014-12-30,0.165,0.175,0.165,0.175,112200,MYR
2014-12-31,0.18,0.18,0.18,0.18,100,MYR
2015-01-02,0.175,0.18,0.175,0.18,200000,MYR
