Date,Open,High,Low,Close,Volume,Currency
2014-07-31,0.125,0.145,0.125,0.135,1713900,MYR
2014-08-01,0.135,0.135,0.13,0.135,32500,MYR
2014-08-04,0.13,0.135,0.125,0.13,406100,MYR
2014-08-05,0.13,0.13,0.13,0.13,372500,MYR
2014-08-06,0.13,0.13,0.12,0.125,182300,MYR
2014-08-07,0.125,0.135,0.125,0.135,80200,MYR
2014-08-08,0.125,0.135,0.125,0.135,96200,MYR
2014-08-11,0.13,0.135,0.13,0.135,20600,MYR
2014-08-12,0.125,0.135,0.125,0.13,150700,MYR
2014-08-13,0.125,0.135,0.125,0.135,21000,MYR
2014-08-15,0.13,0.13,0.12,0.13,103100,MYR
2014-08-18,0.13,0.13,0.125,0.13,50100,MYR
2014-08-19,0.125,0.13,0.12,0.125,97200,MYR
2014-08-20,0.12,0.13,0.12,0.13,231100,MYR
2014-08-21,0.12,0.125,0.12,0.125,10100,MYR
2014-08-22,0.12,0.125,0.12,0.12,80500,MYR
2014-08-25,0.125,0.16,0.125,0.16,3494300,MYR
2014-08-26,0.165,0.175,0.145,0.155,2876800,MYR
2014-08-27,0.145,0.145,0.135,0.14,411400,MYR
2014-08-28,0.145,0.145,0.135,0.135,51500,MYR
2014-08-29,0.135,0.15,0.13,0.14,273000,MYR
2014-09-02,0.15,0.195,0.15,0.19,7998400,MYR
2014-09-03,0.19,0.2,0.17,0.185,2874300,MYR
2014-09-04,0.18,0.195,0.175,0.19,983900,MYR
2014-09-05,0.195,0.22,0.19,0.21,5121300,MYR
2014-09-08,0.225,0.26,0.22,0.26,6729800,MYR
2014-09-09,0.26,0.27,0.235,0.26,2299900,MYR
2014-09-10,0.255,0.26,0.245,0.25,719500,MYR
2014-09-11,0.255,0.255,0.24,0.24,997000,MYR
2014-09-12,0.24,0.275,0.24,0.25,7469100,MYR
2014-09-15,0.255,0.325,0.255,0.3,20172400,MYR
2014-09-17,0.3,0.33,0.295,0.305,16990800,MYR
2014-09-18,0.31,0.31,0.29,0.295,2540300,MYR
2014-09-19,0.295,0.32,0.295,0.31,4264300,MYR
2014-09-22,0.31,0.345,0.3,0.32,11136500,MYR
2014-09-23,0.32,0.33,0.305,0.31,3084200,MYR
2014-09-24,0.305,0.325,0.3,0.31,3862000,MYR
2014-09-25,0.305,0.31,0.3,0.3,1398900,MYR
2014-09-26,0.295,0.305,0.28,0.28,3297400,MYR
2014-09-29,0.28,0.29,0.26,0.265,2653800,MYR
2014-09-30,0.26,0.265,0.24,0.245,3356500,MYR
2014-10-01,0.245,0.245,0.215,0.225,4960500,MYR
2014-10-02,0.215,0.235,0.21,0.21,3286300,MYR
2014-10-03,0.21,0.235,0.21,0.23,2652400,MYR
2014-10-07,0.23,0.27,0.23,0.255,18169600,MYR
2014-10-08,0.255,0.255,0.235,0.245,2039500,MYR
2014-10-09,0.255,0.295,0.255,0.295,22960700,MYR
2014-10-10,0.275,0.33,0.265,0.285,34422500,MYR
2014-10-13,0.285,0.3,0.265,0.275,6249300,MYR
2014-10-14,0.265,0.285,0.245,0.28,8268800,MYR
2014-10-15,0.285,0.295,0.255,0.255,10640900,MYR
2014-10-16,0.25,0.265,0.23,0.24,7561100,MYR
2014-10-17,0.25,0.27,0.25,0.27,11188800,MYR
2014-10-20,0.285,0.29,0.26,0.26,6283100,MYR
2014-10-21,0.265,0.27,0.245,0.27,9032400,MYR
2014-10-23,0.265,0.295,0.265,0.295,23163700,MYR
2014-10-24,0.305,0.305,0.285,0.295,18789500,MYR
2014-10-27,0.3,0.315,0.295,0.305,14381500,MYR
2014-10-28,0.31,0.31,0.285,0.295,5021000,MYR
2014-10-29,0.3,0.355,0.3,0.345,52995300,MYR
2014-10-30,0.35,0.385,0.34,0.365,49045000,MYR
2014-10-31,0.37,0.38,0.36,0.37,19894600,MYR
2014-11-03,0.375,0.38,0.355,0.365,17422200,MYR
2014-11-04,0.37,0.41,0.365,0.41,42122500,MYR
2014-11-05,0.41,0.43,0.39,0.41,33935600,MYR
2014-11-06,0.42,0.425,0.41,0.41,13670000,MYR
2014-11-07,0.41,0.44,0.41,0.435,28005500,MYR
2014-11-10,0.44,0.49,0.435,0.46,45110300,MYR
2014-11-11,0.465,0.465,0.425,0.43,15956300,MYR
2014-11-12,0.43,0.455,0.42,0.435,7092800,MYR
2014-11-13,0.43,0.445,0.39,0.405,9275800,MYR
2014-11-14,0.4,0.4,0.365,0.375,12677100,MYR
2014-11-17,0.38,0.4,0.38,0.385,13455800,MYR
2014-11-18,0.395,0.455,0.395,0.455,31358800,MYR
2014-11-19,0.46,0.475,0.42,0.43,29995700,MYR
2014-11-20,0.43,0.445,0.43,0.435,6899600,MYR
2014-11-21,0.445,0.445,0.425,0.43,3575500,MYR
2014-11-24,0.43,0.435,0.41,0.415,4494600,MYR
2014-11-25,0.415,0.415,0.385,0.39,10545700,MYR
2014-11-26,0.385,0.415,0.385,0.395,5822700,MYR
2014-11-27,0.37,0.385,0.355,0.365,10130800,MYR
2014-11-28,0.36,0.36,0.33,0.33,5126700,MYR
2014-12-01,0.33,0.33,0.26,0.285,13014000,MYR
2014-12-02,0.29,0.35,0.285,0.35,22237800,MYR
2014-12-03,0.365,0.375,0.335,0.34,16783700,MYR
2014-12-04,0.35,0.36,0.335,0.345,8470900,MYR
2014-12-05,0.345,0.365,0.335,0.355,9323100,MYR
2014-12-08,0.355,0.36,0.345,0.345,3931000,MYR
2014-12-09,0.345,0.345,0.295,0.3,7383800,MYR
2014-12-10,0.3,0.35,0.29,0.35,14473900,MYR
2014-12-11,0.335,0.34,0.325,0.325,6697400,MYR
2014-12-12,0.325,0.345,0.315,0.32,4906800,MYR
2014-12-15,0.295,0.31,0.28,0.29,7548200,MYR
2014-12-16,0.275,0.31,0.275,0.285,6813900,MYR
2014-12-17,0.29,0.33,0.29,0.315,13664800,MYR
2014-12-18,0.335,0.345,0.33,0.335,12782500,MYR
2014-12-19,0.345,0.355,0.335,0.34,13630200,MYR
2014-12-22,0.345,0.36,0.33,0.355,15603100,MYR
2014-12-23,0.355,0.36,0.34,0.34,10506700,MYR
2014-12-24,0.34,0.345,0.33,0.33,2478800,MYR
2014-12-26,0.33,0.34,0.325,0.335,2858400,MYR
2014-12-29,0.335,0.345,0.335,0.34,6067900,MYR
2014-12-30,0.34,0.355,0.33,0.335,10608700,MYR
2014-12-31,0.335,0.34,0.33,0.33,2146800,MYR
2015-01-02,0.33,0.34,0.31,0.34,2816400,MYR
2015-01-05,0.335,0.34,0.315,0.32,3382300,MYR
2015-01-06,0.315,0.315,0.295,0.305,4516100,MYR
2015-01-07,0.295,0.32,0.295,0.31,5995200,MYR
2015-01-08,0.32,0.36,0.32,0.36,25847600,MYR
2015-01-09,0.365,0.37,0.34,0.345,13757300,MYR
2015-01-12,0.335,0.39,0.335,0.39,20734500,MYR
2015-01-13,0.38,0.395,0.375,0.375,15561600,MYR
2015-01-14,0.375,0.42,0.375,0.4,24962500,MYR
2015-01-15,0.405,0.435,0.4,0.43,20588800,MYR
2015-01-16,0.425,0.435,0.405,0.41,20062900,MYR
2015-01-19,0.415,0.425,0.405,0.405,4866900,MYR
2015-01-20,0.4,0.43,0.395,0.42,16028700,MYR
2015-01-21,0.42,0.425,0.405,0.41,7880500,MYR
2015-01-22,0.41,0.42,0.4,0.405,5344200,MYR
2015-01-23,0.41,0.425,0.405,0.415,8290300,MYR
2015-01-26,0.415,0.425,0.4,0.405,11114800,MYR
2015-01-27,0.41,0.415,0.4,0.41,3254100,MYR
2015-01-28,0.405,0.425,0.4,0.415,18894400,MYR
2015-01-29,0.415,0.415,0.4,0.41,4172200,MYR
2015-01-30,0.41,0.415,0.405,0.405,3423900,MYR
2015-02-04,0.41,0.42,0.405,0.405,6617000,MYR
2015-02-05,0.405,0.415,0.395,0.395,7444900,MYR
2015-02-06,0.4,0.405,0.39,0.39,5608000,MYR
2015-02-09,0.39,0.395,0.37,0.37,5579700,MYR
2015-02-10,0.365,0.365,0.34,0.345,5283100,MYR
2015-02-11,0.35,0.385,0.35,0.365,12763700,MYR
2015-02-12,0.37,0.37,0.345,0.35,2730300,MYR
2015-02-13,0.35,0.36,0.34,0.345,2696400,MYR
2015-02-16,0.35,0.35,0.325,0.34,4553000,MYR
2015-02-17,0.34,0.355,0.33,0.35,8432000,MYR
2015-02-18,0.35,0.35,0.335,0.335,1466000,MYR
2015-02-23,0.34,0.345,0.33,0.335,2334300,MYR
2015-02-24,0.335,0.335,0.325,0.325,2061900,MYR
2015-02-25,0.325,0.34,0.325,0.33,3370700,MYR
2015-02-26,0.33,0.335,0.325,0.325,1053700,MYR
2015-02-27,0.325,0.33,0.315,0.315,2046800,MYR
2015-03-02,0.315,0.32,0.3,0.3,3201100,MYR
2015-03-03,0.3,0.315,0.3,0.305,2921000,MYR
2015-03-04,0.31,0.31,0.305,0.31,907900,MYR
2015-03-05,0.305,0.305,0.295,0.295,1310900,MYR
2015-03-06,0.3,0.325,0.3,0.32,5141600,MYR
2015-03-09,0.32,0.33,0.315,0.32,3154300,MYR
2015-03-10,0.32,0.33,0.31,0.315,1807800,MYR
2015-03-11,0.31,0.32,0.305,0.32,1751300,MYR
2015-03-12,0.32,0.335,0.315,0.325,4939200,MYR
2015-03-13,0.325,0.325,0.31,0.31,1461600,MYR
2015-03-16,0.305,0.315,0.305,0.31,1088900,MYR
2015-03-17,0.305,0.32,0.3,0.305,1452500,MYR
2015-03-18,0.305,0.31,0.295,0.295,1755300,MYR
2015-03-19,0.295,0.31,0.295,0.3,1044900,MYR
2015-03-20,0.305,0.31,0.295,0.3,1288000,MYR
2015-03-23,0.305,0.305,0.295,0.295,956200,MYR
2015-03-24,0.3,0.3,0.285,0.285,2099300,MYR
2015-03-25,0.285,0.3,0.285,0.3,3101700,MYR
2015-03-26,0.295,0.295,0.29,0.29,1146600,MYR
2015-03-27,0.29,0.295,0.285,0.285,729300,MYR
2015-03-30,0.285,0.295,0.285,0.285,1108700,MYR
2015-03-31,0.285,0.3,0.285,0.295,4000200,MYR
2015-04-01,0.295,0.315,0.295,0.305,6152400,MYR
2015-04-02,0.31,0.315,0.305,0.305,2557300,MYR
2015-04-03,0.31,0.31,0.3,0.3,1105000,MYR
2015-04-06,0.295,0.3,0.29,0.29,655900,MYR
2015-04-07,0.295,0.31,0.295,0.305,2619600,MYR
2015-04-08,0.305,0.31,0.3,0.305,1850000,MYR
2015-04-09,0.305,0.305,0.3,0.3,520100,MYR
2015-04-10,0.305,0.305,0.295,0.295,282400,MYR
2015-04-13,0.295,0.3,0.29,0.29,1229900,MYR
2015-04-14,0.295,0.305,0.295,0.305,3546500,MYR
2015-04-15,0.31,0.35,0.31,0.34,19891400,MYR
2015-04-16,0.35,0.35,0.33,0.335,5181900,MYR
2015-04-17,0.335,0.345,0.32,0.33,8018000,MYR
2015-04-20,0.33,0.33,0.32,0.325,1681500,MYR
2015-04-21,0.325,0.325,0.32,0.32,1864400,MYR
2015-04-22,0.325,0.335,0.325,0.325,4591600,MYR
2015-04-23,0.335,0.345,0.335,0.345,12208200,MYR
2015-04-24,0.345,0.355,0.345,0.345,7860100,MYR
2015-04-27,0.345,0.345,0.315,0.32,1823600,MYR
2015-04-28,0.32,0.32,0.29,0.3,2106600,MYR
2015-04-29,0.305,0.305,0.29,0.3,3933600,MYR
2015-04-30,0.3,0.3,0.29,0.29,2165600,MYR
2015-05-05,0.295,0.305,0.29,0.29,1970300,MYR
2015-05-06,0.295,0.295,0.285,0.295,646000,MYR
2015-05-07,0.295,0.295,0.285,0.285,1540300,MYR
2015-05-08,0.285,0.295,0.285,0.29,1492000,MYR
2015-05-11,0.295,0.295,0.285,0.29,1307700,MYR
2015-05-12,0.29,0.29,0.28,0.28,1460700,MYR
2015-05-13,0.28,0.29,0.27,0.29,2160400,MYR
2015-05-14,0.29,0.295,0.28,0.29,2473000,MYR
2015-05-15,0.29,0.29,0.28,0.285,1649800,MYR
2015-05-18,0.285,0.3,0.28,0.295,4525800,MYR
2015-05-19,0.29,0.3,0.285,0.285,2591900,MYR
2015-05-20,0.29,0.295,0.29,0.29,2349500,MYR
2015-05-21,0.29,0.29,0.275,0.275,1091500,MYR
2015-05-22,0.275,0.28,0.27,0.28,1119900,MYR
2015-05-25,0.275,0.275,0.245,0.26,2034600,MYR
2015-05-26,0.26,0.27,0.255,0.26,1269300,MYR
2015-05-27,0.26,0.26,0.255,0.26,939900,MYR
