Date,Open,High,Low,Close,Volume,Currency
2013-04-11,0.845,0.85,0.845,0.845,87960,MYR
2013-04-12,0.845,0.845,0.835,0.835,158620,MYR
2013-04-15,0.83,0.845,0.825,0.835,46760,MYR
2013-04-16,0.835,0.835,0.83,0.835,53250,MYR
2013-04-17,0.83,0.835,0.83,0.835,149140,MYR
2013-04-18,0.835,0.835,0.835,0.835,70040,MYR
2013-04-19,0.835,0.835,0.83,0.83,189000,MYR
2013-04-22,0.84,0.84,0.83,0.83,134930,MYR
2013-04-23,0.83,0.83,0.825,0.83,97850,MYR
2013-04-24,0.835,0.845,0.83,0.845,7310,MYR
2013-04-25,0.835,0.835,0.835,0.835,5150,MYR
2013-04-26,0.83,0.845,0.83,0.845,50570,MYR
2013-04-29,0.835,0.835,0.83,0.83,74160,MYR
2013-04-30,0.835,0.835,0.825,0.835,115360,MYR
2013-05-02,0.825,0.835,0.825,0.825,126380,MYR
2013-05-03,0.83,0.835,0.825,0.825,87030,MYR
2013-05-06,0.85,0.85,0.84,0.84,21630,MYR
2013-05-07,0.845,0.85,0.84,0.845,24100,MYR
2013-05-08,0.845,0.845,0.84,0.845,43470,MYR
2013-05-09,0.845,0.864,0.845,0.854,158720,MYR
2013-05-10,0.864,0.879,0.859,0.874,339900,MYR
2013-05-13,0.893,0.893,0.883,0.883,177470,MYR
2013-05-14,0.888,0.893,0.883,0.893,137610,MYR
2013-05-15,0.883,0.893,0.874,0.883,117320,MYR
2013-05-16,0.883,0.888,0.883,0.883,32440,MYR
2013-05-17,0.874,0.888,0.874,0.888,19880,MYR
2013-05-20,0.888,0.893,0.883,0.893,289120,MYR
2013-05-21,0.888,0.908,0.888,0.903,547650,MYR
2013-05-22,0.903,0.917,0.893,0.903,241230,MYR
2013-05-23,0.903,0.913,0.893,0.893,117930,MYR
2013-05-27,0.893,0.893,0.893,0.893,54590,MYR
2013-05-28,0.903,0.917,0.903,0.908,145230,MYR
2013-05-29,0.913,0.917,0.913,0.913,157800,MYR
2013-05-30,0.913,0.913,0.908,0.913,115150,MYR
2013-05-31,0.913,0.913,0.913,0.913,88990,MYR
