Date,Open,High,Low,Close,Volume,Currency
2013-03-20,1.856,1.856,1.846,1.856,255551,MYR
2013-03-21,1.846,1.856,1.826,1.856,242652,MYR
2013-03-22,1.866,1.866,1.846,1.856,5139,MYR
2013-03-25,1.856,1.856,1.826,1.836,141581,MYR
2013-03-26,1.846,1.866,1.836,1.866,463639,MYR
2013-03-27,1.856,1.885,1.846,1.866,880623,MYR
2013-03-28,1.846,1.885,1.846,1.876,66911,MYR
2013-03-29,1.876,1.885,1.836,1.885,648853,MYR
2013-04-01,1.866,1.866,1.836,1.846,382722,MYR
2013-04-02,1.846,1.876,1.806,1.846,589702,MYR
2013-04-03,1.846,1.856,1.816,1.846,100669,MYR
2013-04-04,1.826,1.836,1.826,1.836,794566,MYR
2013-04-05,1.836,1.836,1.826,1.826,1224649,MYR
2013-04-08,1.826,1.885,1.826,1.826,259279,MYR
2013-04-09,1.826,1.885,1.826,1.885,843338,MYR
2013-04-10,1.856,1.856,1.846,1.846,703269,MYR
2013-04-11,1.866,1.866,1.846,1.846,349166,MYR
2013-04-12,1.846,1.846,1.836,1.846,270565,MYR
2013-04-15,1.836,1.836,1.816,1.836,364180,MYR
2013-04-16,1.836,1.836,1.816,1.826,326593,MYR
2013-04-17,1.846,1.846,1.826,1.836,164959,MYR
2013-04-18,1.836,1.856,1.826,1.856,825200,MYR
2013-04-19,1.866,1.866,1.846,1.856,1064224,MYR
2013-04-22,1.856,1.856,1.846,1.856,851803,MYR
2013-04-23,1.846,1.866,1.836,1.866,719896,MYR
2013-04-24,1.866,1.876,1.846,1.856,922543,MYR
2013-04-25,1.846,1.856,1.846,1.846,210608,MYR
2013-04-26,1.846,1.856,1.836,1.846,141178,MYR
2013-04-29,1.836,1.836,1.796,1.836,339693,MYR
2013-04-30,1.846,1.846,1.816,1.836,124652,MYR
2013-05-02,1.826,1.826,1.796,1.806,814820,MYR
2013-05-03,1.806,1.806,1.796,1.806,564913,MYR
2013-05-06,1.836,1.846,1.816,1.836,389675,MYR
2013-05-07,1.826,1.856,1.826,1.846,1059992,MYR
2013-05-08,1.866,1.876,1.846,1.856,500924,MYR
2013-05-09,1.846,1.876,1.846,1.876,776226,MYR
2013-05-10,1.876,1.985,1.866,1.965,732190,MYR
2013-05-13,1.985,2.094,1.985,2.024,1620773,MYR
2013-05-14,2.024,2.084,1.995,2.074,711733,MYR
2013-05-15,2.084,2.104,2.054,2.064,693696,MYR
2013-05-16,2.044,2.064,2.034,2.034,348762,MYR
2013-05-17,2.034,2.084,2.034,2.074,792046,MYR
2013-05-20,2.074,2.094,2.074,2.084,2330088,MYR
2013-05-21,2.094,2.431,2.094,2.233,4888217,MYR
2013-05-22,2.243,2.362,2.173,2.223,1315543,MYR
2013-05-23,2.223,2.223,2.094,2.124,889692,MYR
2013-05-27,2.143,2.183,2.124,2.134,2197476,MYR
2013-05-28,2.134,2.163,2.114,2.124,2040376,MYR
