Date,Open,High,Low,Close,Volume,Currency
2013-03-28,0.251,0.251,0.238,0.242,4642500,MYR
2013-03-29,0.247,0.247,0.23,0.234,2100200,MYR
2013-04-01,0.234,0.238,0.23,0.234,1885500,MYR
2013-04-02,0.234,0.255,0.234,0.251,11720500,MYR
2013-04-03,0.247,0.247,0.226,0.238,8505100,MYR
2013-04-04,0.238,0.263,0.234,0.259,16655900,MYR
2013-04-05,0.259,0.259,0.247,0.247,6934800,MYR
2013-04-08,0.247,0.251,0.242,0.247,5638200,MYR
2013-04-09,0.247,0.255,0.242,0.247,3482700,MYR
2013-04-10,0.247,0.251,0.234,0.242,4759300,MYR
2013-04-11,0.242,0.247,0.238,0.238,3026800,MYR
2013-04-12,0.238,0.242,0.23,0.23,3127400,MYR
2013-04-15,0.23,0.234,0.222,0.226,3391700,MYR
2013-04-16,0.226,0.23,0.222,0.226,2429300,MYR
2013-04-17,0.23,0.234,0.226,0.23,4384200,MYR
2013-04-18,0.23,0.234,0.226,0.226,4013700,MYR
2013-04-19,0.23,0.234,0.226,0.226,1057100,MYR
2013-04-22,0.23,0.23,0.222,0.226,3034700,MYR
2013-04-23,0.222,0.226,0.217,0.222,2233500,MYR
2013-04-24,0.222,0.226,0.213,0.213,2854200,MYR
2013-04-25,0.217,0.217,0.209,0.209,2294200,MYR
2013-04-26,0.213,0.217,0.209,0.213,2778900,MYR
2013-04-29,0.209,0.209,0.205,0.205,1589100,MYR
2013-04-30,0.205,0.213,0.205,0.209,1703300,MYR
2013-05-02,0.209,0.209,0.197,0.201,1191900,MYR
2013-05-03,0.205,0.205,0.188,0.192,5023200,MYR
2013-05-06,0.209,0.226,0.209,0.213,11180500,MYR
2013-05-07,0.213,0.242,0.213,0.238,20104700,MYR
2013-05-08,0.238,0.242,0.226,0.23,5179600,MYR
2013-05-09,0.226,0.259,0.226,0.251,23710100,MYR
2013-05-10,0.251,0.255,0.247,0.247,7376500,MYR
2013-05-13,0.251,0.268,0.251,0.259,9970600,MYR
2013-05-14,0.259,0.268,0.251,0.259,5665600,MYR
2013-05-15,0.263,0.272,0.259,0.263,8903100,MYR
2013-05-16,0.263,0.284,0.263,0.272,19145100,MYR
2013-05-17,0.272,0.276,0.268,0.272,6354800,MYR
2013-05-20,0.276,0.284,0.272,0.28,10499600,MYR
2013-05-21,0.28,0.293,0.276,0.288,10210400,MYR
2013-05-22,0.297,0.314,0.288,0.297,30311100,MYR
2013-05-23,0.293,0.297,0.276,0.284,13299200,MYR
2013-05-27,0.284,0.293,0.28,0.288,4451800,MYR
2013-05-28,0.288,0.293,0.284,0.293,9248600,MYR
2013-05-29,0.293,0.297,0.28,0.284,12264000,MYR
2013-05-30,0.276,0.28,0.272,0.28,5665900,MYR
2013-05-31,0.28,0.284,0.259,0.263,8855900,MYR
